xflr5 v6.58

NACA 2412 - 21
Reynolds =,  600000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.045, -0.441, -0.167,  0.819,  0.025, 0.0120,-5.8771
Cpi,Cpv
 0.4352,-0.0433
 0.2294,-0.0496
 0.1355,-0.0613
 0.0508,-0.0775
-0.0244,-0.0982
-0.0964,-0.1242
-0.1681,-0.1570
-0.2422,-0.1990
-0.3216,-0.2553
-0.4110,-0.3409
-0.5169,-0.4551
-0.6585,-0.4508
-0.8426,-0.4419
-1.4635,-0.4214
-2.0387,-0.4121
-2.2067,-0.4942
-1.7336,-0.5371
-1.1179,-0.4080
-0.8639,-0.3378
-0.7295,-0.2915
-0.6420,-0.2562
-0.5773,-0.2264
-0.5259,-0.1996
-0.4828,-0.1745
-0.4451,-0.1504
-0.4113,-0.1269
-0.3802,-0.1039
-0.3556,-0.0827
-0.3269,-0.0572
-0.2928,-0.0265
-0.2558, 0.0079
-0.2155, 0.0461
-0.1720, 0.0880
-0.1250, 0.1337
-0.0743, 0.1834
-0.0195, 0.2372
 0.0396, 0.2953
 0.1033, 0.3577
 0.1720, 0.4246
 0.2460, 0.4958
 0.3256, 0.5714
 0.4112, 0.6504
 0.5030, 0.7326
 0.6007, 0.8146
 0.7031, 0.8935
 0.8072, 0.9598
 0.9055, 0.9981
 0.9805, 0.9756
 0.9936, 0.8283
 0.8615, 0.4293
 0.4226,-0.4317
-0.5384,-1.9792
-2.0043,-3.9995
-3.4311,-5.6332
-4.0027,-5.8771
-3.8218,-5.2251
-3.3680,-4.9588
-2.8941,-4.8703
-2.4781,-3.8399
-2.1305,-2.9262
-1.8428,-2.4548
-1.6031,-2.1315
-1.4011,-1.8685
-1.2286,-1.6448
-1.0792,-1.4517
-0.9483,-1.2832
-0.8321,-1.1347
-0.7280,-1.0025
-0.6338,-0.8838
-0.5480,-0.7763
-0.4691,-0.6782
-0.3963,-0.5881
-0.3287,-0.5050
-0.2656,-0.4280
-0.2065,-0.3566
-0.1511,-0.2905
-0.0990,-0.2295
-0.0517,-0.1737
-0.0076,-0.1230
 0.0410,-0.0771
 0.0903,-0.0380
 0.1410,-0.0069
 0.1935, 0.0156
 0.2490, 0.0249
 0.3096, 0.0325
 0.3787, 0.0415
 0.4662, 0.0507
 0.5936, 0.0599
 0.8282, 0.0633
 0.6886, 0.0654
 0.5030, 0.0814
 0.4355, 0.1021
 0.3850, 0.1270
 0.3495, 0.1352
 0.3228, 0.1334
 0.3027, 0.1237
 0.2882, 0.1078
 0.2788, 0.0874
 0.2749, 0.0635
 0.2778, 0.0372
 0.2907, 0.0092
 0.3203,-0.0178
 0.4352,-0.0433


Reynolds =,  600000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.042, -0.307, -0.181,  0.819,  0.028, 0.0145,-4.9921
Cpi,Cpv
 0.4358,-0.0756
 0.2279,-0.0819
 0.1323,-0.0938
 0.0458,-0.1101
-0.0315,-0.1309
-0.1057,-0.1570
-0.1798,-0.1898
-0.2566,-0.2318
-0.3390,-0.2880
-0.4318,-0.3740
-0.5418,-0.4815
-0.6885,-0.4768
-0.8793,-0.4675
-1.5175,-0.4464
-2.1077,-0.4367
-2.2819,-0.5144
-1.7997,-0.5640
-1.1719,-0.4420
-0.9154,-0.3763
-0.7809,-0.3331
-0.6943,-0.3005
-0.6312,-0.2731
-0.5816,-0.2488
-0.5406,-0.2263
-0.5052,-0.2047
-0.4740,-0.1838
-0.4455,-0.1635
-0.4242,-0.1453
-0.3987,-0.1226
-0.3677,-0.0947
-0.3338,-0.0630
-0.2967,-0.0275
-0.2564, 0.0118
-0.2126, 0.0550
-0.1651, 0.1024
-0.1136, 0.1540
-0.0576, 0.2102
 0.0030, 0.2710
 0.0688, 0.3368
 0.1402, 0.4075
 0.2176, 0.4835
 0.3017, 0.5641
 0.3929, 0.6498
 0.4918, 0.7378
 0.5982, 0.8273
 0.7108, 0.9104
 0.8252, 0.9765
 0.9298, 0.9990
 0.9959, 0.9257
 0.9577, 0.6493
 0.6788,-0.0180
-0.0436,-1.2970
-1.2520,-3.0636
-2.5245,-4.5993
