xflr5 v6.58

NACA 2412 - 24
Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.047, -0.317, -0.186,  0.796,  0.026, 0.0151,-5.4173
Cpi,Cpv
 0.4426,-0.0959
 0.2303,-0.1013
 0.1304,-0.1113
 0.0385,-0.1249
-0.0446,-0.1421
-0.1255,-0.1634
-0.2072,-0.1898
-0.2927,-0.2229
-0.3856,-0.2655
-0.4914,-0.3234
-0.6181,-0.4145
-0.7892,-0.5331
-1.0138,-0.5245
-1.7806,-0.5025
-2.5252,-0.4865
-2.7407,-0.5395
-2.1243,-0.6141
-1.3653,-0.4707
-1.0570,-0.3962
-0.8957,-0.3462
-0.7921,-0.3086
-0.7167,-0.2771
-0.6578,-0.2491
-0.6092,-0.2232
-0.5677,-0.1985
-0.5311,-0.1747
-0.4981,-0.1515
-0.4729,-0.1306
-0.4438,-0.1053
-0.4094,-0.0748
-0.3723,-0.0406
-0.3322,-0.0027
-0.2892, 0.0390
-0.2428, 0.0845
-0.1928, 0.1339
-0.1390, 0.1876
-0.0809, 0.2456
-0.0183, 0.3081
 0.0493, 0.3752
 0.1224, 0.4469
 0.2014, 0.5235
 0.2869, 0.6040
 0.3795, 0.6888
 0.4796, 0.7746
 0.5872, 0.8598
 0.7011, 0.9357
 0.8171, 0.9896
 0.9241, 0.9919
 0.9942, 0.8854
 0.9634, 0.5537
 0.6981,-0.2014
-0.0013,-1.6029
-1.1798,-3.4869
-2.4265,-5.0756
-3.0303,-5.4173
-2.9964,-4.8445
-2.6962,-4.5453
-2.3480,-4.4379
-2.0279,-3.4998
-1.7529,-2.6806
-1.5205,-2.2734
-1.3237,-1.9807
-1.1556,-1.7368
-1.0102,-1.5276
-0.8829,-1.3461
-0.7702,-1.1873
-0.6692,-1.0469
-0.5780,-0.9214
-0.4947,-0.8083
-0.4183,-0.7055
-0.3475,-0.6112
-0.2817,-0.5242
-0.2201,-0.4433
-0.1623,-0.3677
-0.1078,-0.2967
-0.0563,-0.2300
-0.0074,-0.1672
 0.0373,-0.1088
 0.0794,-0.0543
 0.1259,-0.0039
 0.1736, 0.0396
 0.2228, 0.0740
 0.2741, 0.0977
 0.3287, 0.1058
 0.3886, 0.1128
 0.4574, 0.1212
 0.5439, 0.1299
 0.6733, 0.1385
 0.8795, 0.1414
 0.7686, 0.1428
 0.5753, 0.1580
 0.5054, 0.1780
 0.4500, 0.2037
 0.4096, 0.2090
 0.3779, 0.2004
 0.3529, 0.1809
 0.3333, 0.1530
 0.3188, 0.1191
 0.3096, 0.0808
 0.3070, 0.0391
 0.3140,-0.0057
 0.3377,-0.0502
 0.4426,-0.0959


Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.046, -0.191, -0.196,  0.798,  0.029, 0.0171,-4.5433
Cpi,Cpv
 0.4438,-0.1265
 0.2297,-0.1319
 0.1283,-0.1420
 0.0346,-0.1557
-0.0505,-0.1730
-0.1336,-0.1943
-0.2177,-0.2208
-0.3060,-0.2538
-0.4020,-0.2964
-0.5113,-0.3543
-0.6423,-0.4465
-0.8191,-0.5496
-1.0509,-0.5405
-1.8375,-0.5181
-2.6003,-0.5018
-2.8235,-0.5499
-2.1958,-0.6321
-1.4225,-0.4991
-1.1111,-0.4304
-0.9495,-0.3843
-0.8467,-0.3499
-0.7728,-0.3213
-0.7157,-0.2961
-0.6693,-0.2729
-0.6301,-0.2510
-0.5962,-0.2300
-0.5661,-0.2097
-0.5442,-0.1919
-0.5184,-0.1696
-0.4874,-0.1421
-0.4536,-0.1108
-0.4170,-0.0757
-0.3775,-0.0368
-0.3346, 0.0059
-0.2883, 0.0528
-0.2381, 0.1040
-0.1838, 0.1598
-0.1248, 0.2203
-0.0609, 0.2858
 0.0087, 0.3566
 0.0844, 0.4327
 0.1670, 0.5144
 0.2573, 0.6011
 0.3564, 0.6927
 0.4651, 0.7858
 0.5836, 0.8773
 0.7105, 0.9553
 0.8394, 0.9989
 0.9518, 0.9604
 0.9994, 0.7447
 0.8728, 0.1717
 0.3881,-0.9680
-0.5479,-2.6042
-1.6367,-4.0766
-2.2577,-4.5433
-2.3393,-4.1577
-2.1636,-3.7887
-1.9186,-3.6420
-1.6782,-3.2799
-1.4639,-2.4074
-1.2782,-2.0113
-1.1179,-1.7597
-0.9787,-1.5513
-0.8568,-1.3702
-0.7488,-1.2114
-0.6521,-1.0713
-0.5647,-0.9466
-0.4849,-0.8347
-0.4116,-0.7334
-0.3438,-0.6409
-0.2806,-0.5559
-0.2214,-0.4772
-0.1657,-0.4039
-0.1131,-0.3352
-0.0633,-0.2704
-0.0160,-0.2091
 0.0291,-0.1507
 0.0705,-0.0952
 0.1095,-0.0413
 0.1531, 0.0128
 0.1980, 0.0646
 0.2446, 0.1121
 0.2934, 0.1528
 0.3457, 0.1842
 0.4033, 0.2044
 0.4697, 0.2094
 0.5538, 0.2148
 0.6800, 0.2215
 0.8820, 0.2238
 0.7733, 0.2253
 0.5836, 0.2419
 0.5145, 0.2655
 0.4595, 0.2689
 0.4192, 0.2565
 0.3872, 0.2320
 0.3618, 0.1990
 0.3416, 0.1606
 0.3263, 0.1189
 0.3163, 0.0749
 0.3127, 0.0288
 0.3186,-0.0203
 0.3411,-0.0696
 0.4438,-0.1265


Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.002, -0.390, -0.069,  0.746,  0.028, 0.0003,-3.8267
Cpi,Cpv
 0.4453, 0.4006
 0.2297, 0.3992
 0.1268, 0.3967
 0.0312, 0.3933
-0.0558, 0.3892
-0.1411, 0.3841
-0.2276, 0.3779
-0.3185, 0.3704
-0.4176, 0.3612
-0.5305, 0.3495
-0.6658, 0.3339
-0.8480, 0.3110
-1.0871, 0.2681
-1.8933, 0.2237
-2.6740, 0.2288
-2.9048, 0.2334
-2.2662, 0.2360
-1.4790, 0.2372
-1.1646, 0.2358
-1.0028, 0.2266
-0.9011, 0.2082
-0.8287, 0.1889
-0.7736, 0.1758
-0.7294, 0.1679
