xflr5 v6.58

NACA 2412 - 12
Reynolds =,  400000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.034, -0.405, -0.166,  0.844,  0.029, 0.0111,-5.0862
Cpi,Cpv
 0.4241, 0.1474
 0.2395, 0.1278
 0.1632, 0.0939
 0.0991, 0.0594
 0.0458, 0.0267
-0.0024,-0.0053
-0.0477,-0.0502
-0.0920,-0.1593
-0.1372,-0.3701
-0.1854,-0.5005
-0.2400,-0.5052
-0.3096,-0.5076
-0.3972,-0.5094
-0.6774,-0.5279
-0.9042,-0.6267
-0.9726,-0.7057
-0.7908,-0.6453
-0.5135,-0.4855
-0.3917,-0.3917
-0.3250,-0.3370
-0.2791,-0.2971
-0.2433,-0.2648
-0.2129,-0.2367
-0.1858,-0.2113
-0.1605,-0.1874
-0.1363,-0.1645
-0.1126,-0.1425
-0.0927,-0.1225
-0.0681,-0.0982
-0.0379,-0.0690
-0.0041,-0.0361
 0.0333, 0.0005
 0.0745, 0.0408
 0.1196, 0.0850
 0.1687, 0.1332
 0.2220, 0.1856
 0.2797, 0.2424
 0.3419, 0.3038
 0.4087, 0.3699
 0.4802, 0.4408
 0.5562, 0.5166
 0.6362, 0.5965
 0.7194, 0.6811
 0.8036, 0.7669
 0.8847, 0.8529
 0.9546, 0.9301
 0.9969, 0.9869
 0.9790, 0.9943
 0.8351, 0.8969
 0.4358, 0.5815
-0.4436,-0.1438
-2.0440,-1.4962
-4.1794,-3.3124
-5.9888,-4.8222
-6.4262,-5.0862
-5.8529,-4.5052
-5.0084,-4.2518
-4.2226,-4.1777
-3.5719,-4.1232
-3.0491,-3.0412
-2.6290,-2.3983
-2.2876,-2.0388
-2.0059,-1.7826
-1.7700,-1.5743
-1.5693,-1.3964
-1.3963,-1.2413
-1.2453,-1.1045
-1.1120,-0.9827
-0.9932,-0.8733
-0.8865,-0.7745
-0.7899,-0.6848
-0.7019,-0.6028
-0.6214,-0.5278
-0.5474,-0.4589
-0.4791,-0.3956
-0.4162,-0.3374
-0.3581,-0.2840
-0.3067,-0.2351
-0.2604,-0.1901
-0.2096,-0.1478
-0.1588,-0.1091
-0.1078,-0.0744
-0.0562,-0.0441
-0.0029,-0.0182
 0.0535, 0.0032
 0.1160, 0.0203
 0.1943, 0.0323
 0.2955, 0.0388
 0.5602, 0.0413
 0.3752, 0.0457
 0.2502, 0.0623
 0.2070, 0.0756
 0.1816, 0.0858
 0.1678, 0.0947
 0.1611, 0.1027
 0.1599, 0.1100
 0.1634, 0.1169
 0.1715, 0.1235
 0.1848, 0.1297
 0.2049, 0.1356
 0.2356, 0.1409
 0.2820, 0.1453
 0.4241, 0.1474


Reynolds =,  400000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.024, -0.334, -0.176,  0.848,  0.032, 0.0127,-4.7126
Cpi,Cpv
 0.4228, 0.1833
 0.2357, 0.1641
 0.1576, 0.1305
 0.0914, 0.0937
 0.0361, 0.0564
-0.0142, 0.0155
-0.0617,-0.0471
-0.1084,-0.1881
-0.1561,-0.4001
-0.2071,-0.4947
-0.2648,-0.4978
-0.3381,-0.4988
-0.4302,-0.4989
-0.7204,-0.5139
-0.9542,-0.6091
-1.0255,-0.6908
-0.8397,-0.6373
-0.5567,-0.4868
-0.4345,-0.3993
-0.3687,-0.3490
-0.3242,-0.3126
-0.2901,-0.2834
-0.2617,-0.2583
-0.2366,-0.2356
-0.2136,-0.2144
-0.1918,-0.1942
-0.1705,-0.1749
-0.1535,-0.1575
-0.1318,-0.1360
-0.1044,-0.1093
-0.0733,-0.0790
-0.0386,-0.0449
-0.0000,-0.0070
 0.0425, 0.0349
 0.0891, 0.0809
 0.1401, 0.1313
 0.1957, 0.1862
 0.2560, 0.2460
 0.3214, 0.3108
 0.3921, 0.3809
 0.4681, 0.4563
 0.5494, 0.5371
 0.6355, 0.6229
 0.7254, 0.7129
 0.8164, 0.8044
 0.9028, 0.8925
 0.9723, 0.9654
 0.9996, 1.0000
 0.9313, 0.9459
 0.6586, 0.7039
-0.0160, 0.0863
-1.3267,-1.1154
-3.1716,-2.8127
-4.8327,-4.2999
-5.3566,-4.7126
-4.9777,-4.2491
-4.3189,-3.9112
-3.6786,-3.7885
-3.1362,-3.7279
-2.6938,-2.9930
-2.3342,-2.2766
-2.0393,-1.9099
-1.7941,-1.6780
-1.5873,-1.4930
-1.4103,-1.3330
-1.2568,-1.1919
