xflr5 v6.58

NACA 2412 - 15
Reynolds =,  500000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.052, -0.656, -0.119,  0.887,  0.022, 0.0067,-6.4491
Cpi,Cpv
 0.4267, 0.0292
 0.2362, 0.0188
 0.1550,-0.0011
 0.0853,-0.0295
 0.0261,-0.0675
-0.0284,-0.1186
-0.0807,-0.1929
-0.1329,-0.3061
-0.1872,-0.3058
-0.2463,-0.3045
-0.3145,-0.3019
-0.4033,-0.2973
-0.5167,-0.2895
-0.8892,-0.2769
-1.2048,-0.2946
-1.2988,-0.3987
-1.0423,-0.3969
-0.6701,-0.2940
-0.5096,-0.2343
-0.4221,-0.1958
-0.3628,-0.1656
-0.3170,-0.1394
-0.2790,-0.1154
-0.2456,-0.0924
-0.2151,-0.0698
-0.1864,-0.0473
-0.1586,-0.0249
-0.1354,-0.0039
-0.1076, 0.0216
-0.0744, 0.0521
-0.0377, 0.0864
 0.0024, 0.1244
 0.0461, 0.1662
 0.0936, 0.2118
 0.1449, 0.2613
 0.2004, 0.3148
 0.2600, 0.3724
 0.3241, 0.4341
 0.3927, 0.4998
 0.4659, 0.5695
 0.5434, 0.6423
 0.6251, 0.7183
 0.7097, 0.7945
 0.7955, 0.8695
 0.8784, 0.9364
 0.9504, 0.9860
 0.9956, 0.9978
 0.9822, 0.9342
 0.8455, 0.7202
 0.4587, 0.2176
-0.3991,-0.8074
-1.9659,-2.5638
-4.0618,-4.7706
-5.8414,-6.4197
-6.2759,-6.4491
-5.7164,-5.8393
-4.8888,-5.6444
-4.1174,-5.5740
-3.4780,-4.0881
-2.9637,-3.1840
-2.5500,-2.6779
-2.2134,-2.3146
-1.9355,-2.0200
-1.7024,-1.7718
-1.5040,-1.5589
-1.3327,-1.3739
-1.1830,-1.2115
-1.0507,-1.0676
-0.9327,-0.9393
-0.8265,-0.8244
-0.7301,-0.7214
-0.6423,-0.6295
-0.5616,-0.5482
-0.4874,-0.4772
-0.4187,-0.4165
-0.3551,-0.3659
-0.2961,-0.3250
-0.2436,-0.2933
-0.1957,-0.2745
-0.1433,-0.2589
-0.0908,-0.2427
-0.0377,-0.2265
 0.0163,-0.2107
 0.0724,-0.1954
 0.1325,-0.1806
 0.1997,-0.1664
 0.2846,-0.1528
 0.3991,-0.1397
 0.6690,-0.1339
 0.4872,-0.1307
 0.3348,-0.1143
 0.2806,-0.0968
 0.2453,-0.0781
 0.2235,-0.0578
 0.2097,-0.0350
 0.2021,-0.0119
 0.1997, 0.0018
 0.2023, 0.0118
 0.2103, 0.0190
 0.2252, 0.0239
 0.2507, 0.0271
 0.2922, 0.0291
 0.4267, 0.0292


Reynolds =,  500000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.039, -0.544, -0.147,  0.886,  0.026, 0.0101,-5.8715
Cpi,Cpv
 0.4259, 0.0226
 0.2328, 0.0124
 0.1499,-0.0072
 0.0782,-0.0350
 0.0169,-0.0724
-0.0398,-0.1229
-0.0944,-0.1962
-0.1491,-0.3197
-0.2061,-0.3192
-0.2682,-0.3177
-0.3398,-0.3149
-0.4329,-0.3101
-0.5515,-0.3019
-0.9364,-0.2886
-1.2614,-0.3039
-1.3592,-0.4048
-1.0973,-0.4086
-0.7172,-0.3129
-0.5554,-0.2579
-0.4685,-0.2227
-0.4103,-0.1954
-0.3662,-0.1718
-0.3300,-0.1502
-0.2986,-0.1296
-0.2702,-0.1095
-0.2438,-0.0894
-0.2186,-0.0695
-0.1982,-0.0510
-0.1732,-0.0280
-0.1427, 0.0001
-0.1088, 0.0322
-0.0713, 0.0680
-0.0302, 0.1077
 0.0147, 0.1514
 0.0636, 0.1992
 0.1167, 0.2512
 0.1743, 0.3075
 0.2366, 0.3684
 0.3039, 0.4337
 0.3762, 0.5036
 0.4538, 0.5779
 0.5366, 0.6558
 0.6243, 0.7369
 0.7157, 0.8179
 0.8083, 0.8959
 0.8966, 0.9612
 0.9688, 0.9984
 0.9999, 0.9743
 0.9379, 0.8246
 0.6763, 0.4212
 0.0208,-0.4470
-1.2597,-2.0048
-3.0682,-4.0333
-4.7013,-5.6607
-5.2210,-5.8715
-4.8536,-5.2194
-4.2094,-4.9670
-3.5817,-4.8895
-3.0492,-4.1758
-2.6143,-3.1486
-2.2604,-2.5686
-1.9698,-2.2155
-1.7278,-1.9466
-1.5235,-1.7224
-1.3484,-1.5298
-1.1964,-1.3622
-1.0627,-1.2149
-0.9441,-1.0840
-0.8376,-0.9670
-0.7414,-0.8615
-0.6538,-0.7658
-0.5736,-0.6786
-0.4997,-0.5987
-0.4313,-0.5253
-0.3679,-0.4576
-0.3091,-0.3952
-0.2544,-0.3375
-0.2055,-0.2844
-0.1610,-0.2348
-0.1118,-0.1873
-0.0623,-0.1430
-0.0121,-0.1025
 0.0392,-0.0664
 0.0929,-0.0350
 0.1506,-0.0087
 0.2154, 0.0124
 0.2978, 0.0283
 0.4095, 0.0361
 0.6746, 0.0379
 0.4958, 0.0430
 0.3453, 0.0615
 0.2912, 0.0701
 0.2556, 0.0739
 0.2331, 0.0741
 0.2186, 0.0715
 0.2101, 0.0672
 0.2067, 0.0616
 0.2082, 0.0553
 0.2150, 0.0487
 0.2287, 0.0419
 0.2529, 0.0352
 0.2932, 0.0292
 0.4259, 0.0226


Reynolds =,  500000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.035, -0.431, -0.156,  0.886,  0.028, 0.0118,-5.1154
Cpi,Cpv
 0.4253, 0.0038
 0.2299,-0.0064
 0.1452,-0.0259
 0.0715,-0.0537
 0.0082,-0.0909
-0.0507,-0.1412
-0.1076,-0.2142
-0.1648,-0.3406
-0.2244,-0.3400
-0.2896,-0.3383
-0.3646,-0.3353
-0.4619,-0.3302
-0.5857,-0.3216
-0.9830,-0.3077
-1.3173,-0.3210
-1.4190,-0.4190
-1.1516,-0.4277
-0.7638,-0.3384
-0.6010,-0.2875
-0.5147,-0.2553
-0.4578,-0.2307
-0.4154,-0.2096
-0.3811,-0.1906
-0.3518,-0.1724
-0.3258,-0.1548
-0.3019,-0.1373
-0.2793,-0.1200
-0.2620,-0.1043
-0.2401,-0.0841
-0.2125,-0.0587
-0.1815,-0.0293
-0.1470, 0.0040
-0.1088, 0.0412
-0.0668, 0.0824
-0.0208, 0.1279
 0.0295, 0.1778
 0.0845, 0.2323
 0.1443, 0.2916
 0.2094, 0.3558
 0.2800, 0.4251
 0.3564, 0.4997
 0.4391, 0.5789
 0.5280, 0.6633
 0.6229, 0.7497
 0.7225, 0.8375
 0.8234, 0.9181
 0.9174, 0.9808
 0.9862, 0.9977
 0.9889, 0.9153
 0.8383, 0.6231
 0.3665,-0.0701
-0.6482,-1.3879
-2.1809,-3.1936
-3.6618,-4.7470
-4.2452,-5.1154
-4.0468,-4.5815
-3.5686,-4.2722
-3.0729,-4.1674
-2.6397,-3.9201
-2.2790,-2.8712
-1.9813,-2.3178
-1.7340,-2.0092
-1.5262,-1.7758
-1.3492,-1.5785
-1.1964,-1.4072
-1.0628,-1.2568
-0.9446,-1.1238
-0.8391,-1.0052
-0.7439,-0.8986
-0.6574,-0.8021
-0.5782,-0.7143
-0.5054,-0.6339
-0.4381,-0.5599
-0.3755,-0.4915
-0.3173,-0.4282
-0.2631,-0.3694
-0.2125,-0.3146
-0.1674,-0.2638
-0.1261,-0.2156
-0.0801,-0.1673
-0.0337,-0.1201
 0.0137,-0.0744
 0.0625,-0.0308
 0.1136, 0.0101
 0.1689, 0.0475
 0.2313, 0.0807
 0.3112, 0.1090
 0.4202, 0.1315
 0.6803, 0.1410
 0.5047, 0.1408
 0.3561, 0.1401
 0.3021, 0.1340
 0.2662, 0.1245
 0.2431, 0.1130
 0.2279, 0.1004
 0.2185, 0.0876
 0.2141, 0.0749
 0.2145, 0.0625
 0.2203, 0.0505
 0.2327, 0.0387
 0.2556, 0.0269
 0.2947, 0.0162
 0.4253, 0.0038


Reynolds =,  500000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.032, -0.317, -0.162,  0.886,  0.033, 0.0132,-4.3801
Cpi,Cpv
 0.4252,-0.0190
 0.2275,-0.0292
 0.1411,-0.0488
 0.0654,-0.0765
 0.0001,-0.1137
-0.0610,-0.1637
-0.1202,-0.2362
-0.1798,-0.3626
-0.2421,-0.3618
-0.3103,-0.3600
-0.3888,-0.3567
-0.4903,-0.3514
-0.6193,-0.3424
-1.0290,-0.3279
-1.3725,-0.3393
-1.4781,-0.4337
-1.2053,-0.4471
-0.8100,-0.3643
-0.6463,-0.3177
-0.5607,-0.2886
-0.5052,-0.2666
-0.4645,-0.2482
-0.4323,-0.2317
-0.4053,-0.2162
-0.3817,-0.2011
-0.3604,-0.1863
-0.3407,-0.1719
-0.3266,-0.1591
-0.3080,-0.1419
-0.2836,-0.1193
