xflr5 v6.58

NACA 2412 - 12
Reynolds =,  600000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.027, -0.536, -0.164,  0.818,  0.022, 0.0095,-6.4448
Cpi,Cpv
 0.4256, 0.1644
 0.2438, 0.1403
 0.1693, 0.0999
 0.1073, 0.0607
 0.0560, 0.0245
 0.0099,-0.0074
-0.0331,-0.0347
-0.0751,-0.0613
-0.1177,-0.1251
-0.1632,-0.3330
-0.2147,-0.4975
-0.2806,-0.5029
-0.3638,-0.5053
-0.6339,-0.5187
-0.8537,-0.6250
-0.9193,-0.7076
-0.7415,-0.6322
-0.4699,-0.4543
-0.3487,-0.3535
-0.2813,-0.2944
-0.2341,-0.2511
-0.1966,-0.2158
-0.1645,-0.1850
-0.1354,-0.1569
-0.1080,-0.1303
-0.0816,-0.1046
-0.0554,-0.0796
-0.0328,-0.0567
-0.0056,-0.0295
 0.0271, 0.0026
 0.0634, 0.0383
 0.1032, 0.0777
 0.1467, 0.1207
 0.1940, 0.1675
 0.2451, 0.2182
 0.3003, 0.2729
 0.3595, 0.3317
 0.4229, 0.3947
 0.4903, 0.4620
 0.5617, 0.5334
 0.6365, 0.6084
 0.7140, 0.6869
 0.7924, 0.7665
 0.8688, 0.8459
 0.9372, 0.9187
 0.9869, 0.9765
 0.9970, 0.9999
 0.9270, 0.9532
 0.6975, 0.7644
 0.1578, 0.2983
-0.9450,-0.6754
-2.8553,-2.3777
-5.2927,-4.5593
-7.2446,-6.2647
-7.5741,-6.4448
-6.7833,-5.7498
-5.7360,-5.4906
-4.7932,-5.4008
-4.0265,-3.9352
-3.4182,-3.1114
-2.9339,-2.6543
-2.5435,-2.3130
-2.2236,-2.0307
-1.9572,-1.7913
-1.7318,-1.5860
-1.5385,-1.4078
-1.3706,-1.2518
-1.2231,-1.1137
-1.0921,-0.9904
-0.9749,-0.8795
-0.8692,-0.7791
-0.7733,-0.6877
-0.6857,-0.6040
-0.6055,-0.5271
-0.5318,-0.4564
-0.4640,-0.3912
-0.4015,-0.3310
-0.3463,-0.2758
-0.2965,-0.2244
-0.2423,-0.1756
-0.1885,-0.1307
-0.1346,-0.0904
-0.0802,-0.0554
-0.0244,-0.0261
 0.0345,-0.0027
 0.0993, 0.0147
 0.1801, 0.0226
 0.2839, 0.0305
 0.5532, 0.0343
 0.3653, 0.0388
 0.2391, 0.0576
 0.1962, 0.0779
 0.1713, 0.0912
 0.1584, 0.1022
 0.1527, 0.1117
 0.1525, 0.1202
 0.1571, 0.1281
 0.1664, 0.1357
 0.1809, 0.1430
 0.2022, 0.1500
 0.2343, 0.1564
 0.2819, 0.1617
 0.4256, 0.1644


Reynolds =,  600000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.022, -0.439, -0.172,  0.820,  0.025, 0.0109,-5.6655
Cpi,Cpv
 0.4241, 0.1860
 0.2395, 0.1608
 0.1632, 0.1186
 0.0991, 0.0763
 0.0458, 0.0369
-0.0024, 0.0020
-0.0477,-0.0287
-0.0920,-0.0624
-0.1372,-0.1496
-0.1854,-0.3758
-0.2400,-0.5150
-0.3096,-0.5190
-0.3972,-0.5200
-0.6774,-0.5316
-0.9042,-0.6382
-0.9726,-0.7245
-0.7908,-0.6525
-0.5135,-0.4779
-0.3917,-0.3802
-0.3250,-0.3238
-0.2791,-0.2829
-0.2433,-0.2499
-0.2129,-0.2215
-0.1858,-0.1957
-0.1605,-0.1714
-0.1363,-0.1482
-0.1126,-0.1257
-0.0927,-0.1055
-0.0681,-0.0809
-0.0379,-0.0513
-0.0041,-0.0180
 0.0333, 0.0190
 0.0745, 0.0597
 0.1196, 0.1043
 0.1687, 0.1530
 0.2220, 0.2058
 0.2797, 0.2631
 0.3419, 0.3248
 0.4087, 0.3913
 0.4802, 0.4624
 0.5562, 0.5383
 0.6362, 0.6182
 0.7194, 0.7021
 0.8036, 0.7869
 0.8847, 0.8705
 0.9546, 0.9437
 0.9969, 0.9930
 0.9790, 0.9875
 0.8351, 0.8668
 0.4358, 0.5095
-0.4436,-0.2895
-2.0440,-1.7583
-4.1794,-3.7163
-5.9888,-5.3476
-6.4262,-5.6655
-5.8529,-5.0515
-5.0084,-4.7583
-4.2226,-4.6591
-3.5719,-3.8850
-3.0491,-2.9254
-2.6290,-2.4405
-2.2876,-2.1282
-2.0059,-1.8772
-1.7700,-1.6634
-1.5693,-1.4787
-1.3963,-1.3175
-1.2453,-1.1755
-1.1120,-1.0493
-0.9932,-0.9364
-0.8865,-0.8344
-0.7899,-0.7419
-0.7019,-0.6574
-0.6214,-0.5798
-0.5474,-0.5084
-0.4791,-0.4424
-0.4162,-0.3813
-0.3581,-0.3245
-0.3067,-0.2721
-0.2604,-0.2226
-0.2096,-0.1732
-0.1588,-0.1254
-0.1078,-0.0796
-0.0562,-0.0363
-0.0029, 0.0038
 0.0535, 0.0401
 0.1160, 0.0720
