xflr5 v6.58

NACA 2412 - 21
Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.041, -0.326, -0.191,  0.813,  0.025, 0.0145,-5.5305
Cpi,Cpv
 0.4352,-0.0000
 0.2294,-0.0070
 0.1355,-0.0202
 0.0508,-0.0385
-0.0244,-0.0626
-0.0964,-0.0936
-0.1681,-0.1340
-0.2422,-0.1874
-0.3216,-0.2615
-0.4110,-0.3744
-0.5169,-0.5981
-0.6585,-0.5945
-0.8426,-0.5855
-1.4635,-0.5627
-2.0387,-0.5526
-2.2067,-0.6723
-1.7336,-0.6915
-1.1179,-0.5138
-0.8639,-0.4221
-0.7295,-0.3646
-0.6420,-0.3222
-0.5773,-0.2874
-0.5259,-0.2570
-0.4828,-0.2292
-0.4451,-0.2031
-0.4113,-0.1780
-0.3802,-0.1538
-0.3556,-0.1321
-0.3269,-0.1059
-0.2928,-0.0747
-0.2558,-0.0398
-0.2155,-0.0013
-0.1720, 0.0409
-0.1250, 0.0869
-0.0743, 0.1369
-0.0195, 0.1910
 0.0396, 0.2494
 0.1033, 0.3123
 0.1720, 0.3798
 0.2460, 0.4519
 0.3256, 0.5287
 0.4112, 0.6094
 0.5030, 0.6942
 0.6007, 0.7798
 0.7031, 0.8645
 0.8072, 0.9394
 0.9055, 0.9912
 0.9805, 0.9900
 0.9936, 0.8770
 0.8615, 0.5339
 0.4226,-0.2406
-0.5384,-1.6712
-2.0043,-3.5868
-3.4311,-5.1945
-4.0027,-5.5305
-3.8218,-4.9431
-3.3680,-4.6435
-2.8941,-4.5358
-2.4781,-3.5402
-2.1305,-2.7274
-1.8428,-2.3194
-1.6031,-2.0228
-1.4011,-1.7755
-1.2286,-1.5636
-1.0792,-1.3802
-0.9483,-1.2198
-0.8321,-1.0783
-0.7280,-0.9522
-0.6338,-0.8388
-0.5480,-0.7359
-0.4691,-0.6419
-0.3963,-0.5554
-0.3287,-0.4754
-0.2656,-0.4009
-0.2065,-0.3314
-0.1511,-0.2661
-0.0990,-0.2048
-0.0517,-0.1475
-0.0076,-0.0933
 0.0410,-0.0412
 0.0903, 0.0064
 0.1410, 0.0479
 0.1935, 0.0814
 0.2490, 0.1057
 0.3096, 0.1172
 0.3787, 0.1229
 0.4662, 0.1306
 0.5936, 0.1389
 0.8282, 0.1419
 0.6886, 0.1440
 0.5030, 0.1608
 0.4355, 0.1852
 0.3850, 0.1991
 0.3495, 0.1992
 0.3228, 0.1900
 0.3027, 0.1742
 0.2882, 0.1539
 0.2788, 0.1307
 0.2749, 0.1056
 0.2778, 0.0794
 0.2907, 0.0523
 0.3203, 0.0263
 0.4352,-0.0000


Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.039, -0.206, -0.199,  0.813,  0.028, 0.0163,-4.6674
Cpi,Cpv
 0.4358,-0.0302
 0.2279,-0.0371
 0.1323,-0.0504
 0.0458,-0.0687
-0.0315,-0.0927
-0.1057,-0.1235
-0.1798,-0.1633
-0.2566,-0.2158
-0.3390,-0.2883
-0.4318,-0.3986
-0.5418,-0.6182
-0.6885,-0.6141
-0.8793,-0.6047
-1.5175,-0.5813
-2.1077,-0.5707
-2.2819,-0.6858
-1.7997,-0.7138
-1.1719,-0.5435
-0.9154,-0.4565
-0.7809,-0.4023
-0.6943,-0.3628
-0.6312,-0.3306
-0.5816,-0.3029
-0.5406,-0.2777
-0.5052,-0.2542
-0.4740,-0.2318
-0.4455,-0.2104
-0.4242,-0.1917
-0.3987,-0.1685
-0.3677,-0.1401
-0.3338,-0.1081
-0.2967,-0.0724
-0.2564,-0.0329
-0.2126, 0.0105
-0.1651, 0.0580
-0.1136, 0.1097
-0.0576, 0.1660
 0.0030, 0.2270
 0.0688, 0.2929
 0.1402, 0.3641
 0.2176, 0.4406
 0.3017, 0.5226
 0.3929, 0.6093
 0.4918, 0.7008
 0.5982, 0.7936
 0.7108, 0.8839
 0.8252, 0.9599
 0.9298, 0.9996
 0.9959, 0.9541
 0.9577, 0.7258
 0.6788, 0.1311
-0.0436,-1.0411
-1.2520,-2.7131
-2.5245,-4.2071
-3.1359,-4.6674
-3.0960,-4.2604
-2.7863,-3.8956
-2.4291,-3.7521
-2.1018,-3.3325
-1.8213,-2.4606
-1.5846,-2.0619
-1.3846,-1.8053
-1.2139,-1.5927
-1.0666,-1.4083
-0.9379,-1.2471
-0.8240,-1.1051
-0.7222,-0.9789
-0.6303,-0.8659
-0.5467,-0.7638
-0.4699,-0.6709
-0.3990,-0.5857
-0.3332,-0.5071
-0.2717,-0.4341
-0.2141,-0.3661
-0.1599,-0.3023
-0.1089,-0.2422
-0.0607,-0.1854
-0.0168,-0.1318
 0.0241,-0.0800
 0.0696,-0.0275
 0.1161, 0.0239
 0.1641, 0.0729
 0.2141, 0.1177
 0.2672, 0.1563
 0.3254, 0.1869
 0.3922, 0.2078
 0.4772, 0.2151
 0.6016, 0.2197
 0.8315, 0.2216
 0.6946, 0.2241
 0.5120, 0.2457
 0.4452, 0.2561
 0.3949, 0.2512
 0.3592, 0.2360
 0.3321, 0.2138
 0.3114, 0.1875
 0.2961, 0.1589
 0.2859, 0.1294
 0.2811, 0.0994
 0.2829, 0.0687
 0.2946, 0.0368
 0.3229, 0.0055
 0.4358,-0.0302


Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.039, -0.093, -0.205,  0.814,  0.035, 0.0177,-3.8785
Cpi,Cpv
 0.4366,-0.0587
 0.2269,-0.0657
 0.1298,-0.0788
 0.0413,-0.0971
-0.0380,-0.1208
-0.1144,-0.1511
-0.1909,-0.1902
-0.2703,-0.2415
-0.3557,-0.3121
-0.4519,-0.4190
-0.5659,-0.6317
-0.7177,-0.6273
-0.9151,-0.6173
-1.5705,-0.5935
-2.1755,-0.5824
-2.3560,-0.6909
-1.8648,-0.7282
-1.2252,-0.5675
-0.9663,-0.4862
-0.8320,-0.4359
-0.7465,-0.3996
-0.6849,-0.3705
-0.6373,-0.3455
-0.5985,-0.3232
-0.5656,-0.3025
-0.5370,-0.2831
-0.5115,-0.2647
-0.4936,-0.2491
-0.4714,-0.2291
-0.4438,-0.2039
-0.4133,-0.1749
-0.3797,-0.1422
-0.3430,-0.1057
-0.3028,-0.0653
-0.2589,-0.0208
-0.2111, 0.0281
-0.1589, 0.0816
-0.1019, 0.1401
-0.0398, 0.2038
 0.0280, 0.2732
 0.1021, 0.3484
 0.1832, 0.4300
 0.2723, 0.5176
 0.3702, 0.6122
 0.4777, 0.7107
 0.5951, 0.8125
 0.7206, 0.9077
 0.8477, 0.9812
 0.9568, 0.9936
 0.9985, 0.8636
 0.8605, 0.4313
 0.3560,-0.5093
-0.6067,-1.9459
-1.7196,-3.3271
-2.3492,-3.8785
-2.4271,-3.6693
-2.2440,-3.2530
-1.9917,-3.0369
-1.7454,-2.9358
-1.5265,-2.3008
-1.3372,-1.8224
-1.1742,-1.5921
-1.0330,-1.4123
-0.9095,-1.2549
-0.8003,-1.1150
-0.7027,-0.9904
-0.6147,-0.8787
-0.5345,-0.7780
-0.4610,-0.6864
-0.3930,-0.6026
-0.3298,-0.5254
-0.2707,-0.4540
-0.2152,-0.3874
-0.1629,-0.3251
-0.1135,-0.2665
-0.0668,-0.2113
-0.0224,-0.1589
 0.0180,-0.1096
 0.0559,-0.0616
 0.0984,-0.0115
 0.1421, 0.0392
 0.1874, 0.0901
 0.2348, 0.1399
 0.2855, 0.1868
 0.3414, 0.2283
 0.4059, 0.2615
 0.4883, 0.2841
 0.6097, 0.2920
 0.8348, 0.2922
 0.7007, 0.2956
 0.5213, 0.3115
 0.4552, 0.3062
 0.4051, 0.2873
 0.3692, 0.2595
 0.3417, 0.2272
 0.3205, 0.1932
 0.3045, 0.1594
 0.2934, 0.1260
 0.2876, 0.0929
 0.2884, 0.0592
 0.2988, 0.0235
 0.3260,-0.0124
 0.4366,-0.0587


Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.039,  0.006, -0.205,  0.814,  0.041, 0.0185,-3.1351
Cpi,Cpv
 0.4379,-0.0820
 0.2264,-0.0888
 0.1277,-0.1018
 0.0374,-0.1197
-0.0438,-0.1430
-0.1224,-0.1726
-0.2013,-0.2105
-0.2833,-0.2602
-0.3717,-0.3281
-0.4712,-0.4308
-0.5892,-0.6343
-0.7462,-0.6295
-0.9501,-0.6192
-1.6225,-0.5951
-2.2421,-0.5836
-2.4289,-0.6823
-1.9290,-0.7296
-1.2777,-0.5819
-1.0167,-0.5078
-0.8826,-0.4622
-0.7984,-0.4297
-0.7385,-0.4040
-0.6930,-0.3823
-0.6565,-0.3631
-0.6262,-0.3455
-0.6005,-0.3292
-0.5780,-0.3141
-0.5636,-0.3018
-0.5451,-0.2852
-0.5211,-0.2633
-0.4943,-0.2376
-0.4645,-0.2082
-0.4316,-0.1751
-0.3954,-0.1380
-0.3556,-0.0968
-0.3119,-0.0512
-0.2640,-0.0008
-0.2115, 0.0546
-0.1538, 0.1154
-0.0905, 0.1820
-0.0208, 0.2550
 0.0560, 0.3348
 0.1412, 0.4221
 0.2360, 0.5168
 0.3418, 0.6198
 0.4602, 0.7279
 0.5918, 0.8385
 0.7343, 0.9377
 0.8765, 0.9977
 0.9837, 0.9508
 0.9676, 0.6623
 0.6599,-0.0719
-0.0694,-1.2799
-1.0175,-2.5422
-1.6436,-3.1351
-1.8158,-3.0774
-1.7418,-2.7471
-1.5825,-2.4841
-1.4091,-2.3532
-1.2465,-2.2760
-1.1009,-1.6219
-0.9723,-1.3871
-0.8586,-1.2382
-0.7575,-1.1071
-0.6668,-0.9879
-0.5847,-0.8797
-0.5097,-0.7816
-0.4408,-0.6923
-0.3769,-0.6105
-0.3173,-0.5352
-0.2615,-0.4654
-0.2089,-0.4005
-0.1593,-0.3398
-0.1122,-0.2827
-0.0674,-0.2289
-0.0248,-0.1780
 0.0158,-0.1296
 0.0528,-0.0842
 0.0877,-0.0399
 0.1272, 0.0071
 0.1681, 0.0554
 0.2108, 0.1048
 0.2558, 0.1548
 0.3041, 0.2041
 0.3576, 0.2502
 0.4197, 0.2899
 0.4997, 0.3197
 0.6179, 0.3368
 0.8383, 0.3369
 0.7069, 0.3410
 0.5308, 0.3466
 0.4653, 0.3321
 0.4155, 0.3044
 0.3795, 0.2693
 0.3516, 0.2316
 0.3299, 0.1941
 0.3132, 0.1576
 0.3013, 0.1222
 0.2946, 0.0870
 0.2943, 0.0510
 0.3035, 0.0123
 0.3294,-0.0271
 0.4379,-0.0820


Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-11.000,    0.040,  0.103, -0.205,  0.814,  0.053, 0.0194,-2.5256
Cpi,Cpv
 0.4394,-0.1061
 0.2263,-0.1129
 0.1261,-0.1256
 0.0340,-0.1432
-0.0491,-0.1658
-0.1298,-0.1945
-0.2110,-0.2312
-0.2956,-0.2789
-0.3869,-0.3439
-0.4898,-0.4418
-0.6117,-0.6338
-0.7738,-0.6286
-0.9842,-0.6180
-1.6734,-0.5937
-2.3075,-0.5818
-2.5005,-0.6692
-1.9920,-0.7261
-1.3295,-0.5931
-1.0665,-0.5270
-0.9328,-0.4865
-0.8499,-0.4582
-0.7919,-0.4361
-0.7485,-0.4178
-0.7145,-0.4018
-0.6870,-0.3875
-0.6642,-0.3745
-0.6450,-0.3627
-0.6344,-0.3540
-0.6197,-0.3409
-0.5995,-0.3225
-0.5766,-0.3004
-0.5508,-0.2746
-0.5221,-0.2451
-0.4902,-0.2116
-0.4550,-0.1740
-0.4160,-0.1320
-0.3729,-0.0854
-0.3254,-0.0336
-0.2730, 0.0236
-0.2151, 0.0868
