xflr5 v6.58

NACA 2412 - 27
Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.056, -0.157, -0.210,  0.788,  0.027, 0.0191,-4.7982
Cpi,Cpv
 0.4519,-0.1316
 0.2340,-0.1368
 0.1285,-0.1464
 0.0296,-0.1594
-0.0613,-0.1761
-0.1510,-0.1969
-0.2427,-0.2230
-0.3399,-0.2562
-0.4467,-0.2999
-0.5695,-0.3605
-0.7182,-0.4533
-0.9208,-0.6183
-1.1889,-0.6321
-2.1160,-0.6095
-3.0603,-0.5880
-3.3315,-0.6149
-2.5446,-0.7263
-1.6280,-0.5576
-1.2604,-0.4754
-1.0698,-0.4199
-0.9489,-0.3787
-0.8619,-0.3447
-0.7950,-0.3150
-0.7406,-0.2879
-0.6949,-0.2624
-0.6554,-0.2381
-0.6205,-0.2148
-0.5946,-0.1943
-0.5651,-0.1693
-0.5305,-0.1391
-0.4935,-0.1052
-0.4538,-0.0677
-0.4113,-0.0265
-0.3658, 0.0185
-0.3170, 0.0676
-0.2645, 0.1208
-0.2079, 0.1785
-0.1470, 0.2407
-0.0811, 0.3078
-0.0099, 0.3798
 0.0674, 0.4571
 0.1514, 0.5391
 0.2430, 0.6264
 0.3433, 0.7165
 0.4530, 0.8086
 0.5726, 0.8956
 0.7007, 0.9677
 0.8313, 1.0000
 0.9467, 0.9431
 0.9999, 0.6952
 0.8842, 0.0730
 0.4188,-1.1391
-0.4909,-2.8431
-1.5558,-4.3542
-2.1679,-4.7982
-2.2526,-4.3750
-2.0841,-4.0151
-1.8461,-3.8676
-1.6115,-3.0276
-1.4017,-2.3840
-1.2194,-2.0499
-1.0618,-1.7894
-0.9247,-1.5677
-0.8043,-1.3762
-0.6975,-1.2095
-0.6017,-1.0630
-0.5150,-0.9330
-0.4358,-0.8164
-0.3628,-0.7108
-0.2951,-0.6143
-0.2320,-0.5255
-0.1728,-0.4430
-0.1170,-0.3658
-0.0642,-0.2931
-0.0140,-0.2241
 0.0337,-0.1583
 0.0794,-0.0953
 0.1216,-0.0350
 0.1617, 0.0229
 0.2061, 0.0787
 0.2519, 0.1281
 0.2994, 0.1675
 0.3493, 0.1935
 0.4027, 0.2005
 0.4614, 0.2075
 0.5291, 0.2158
 0.6132, 0.2241
 0.7417, 0.2322
 0.9162, 0.2347
 0.8358, 0.2356
 0.6399, 0.2500
 0.5700, 0.2691
 0.5112, 0.2956
 0.4673, 0.2981
 0.4316, 0.2820
 0.4024, 0.2516
 0.3785, 0.2112
 0.3594, 0.1643
 0.3454, 0.1129
 0.3377, 0.0580
 0.3391,-0.0011
 0.3572,-0.0615
 0.4519,-0.1316


Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.058, -0.034, -0.217,  0.789,  0.031, 0.0207,-3.9172
Cpi,Cpv
 0.4538,-0.1507
 0.2344,-0.1559
 0.1275,-0.1656
 0.0269,-0.1789
-0.0660,-0.1958
-0.1578,-0.2170
-0.2520,-0.2435
-0.3519,-0.2774
-0.4619,-0.3221
-0.5884,-0.3844
-0.7416,-0.4804
-0.9502,-0.6455
-1.2262,-0.6556
-2.1754,-0.6325
-3.1413,-0.6107
-3.4217,-0.6361
-2.6214,-0.7538
-1.6883,-0.5915
-1.3170,-0.5134
-1.1259,-0.4609
-1.0057,-0.4226
-0.9202,-0.3912
-0.8550,-0.3641
-0.8029,-0.3396
-0.7596,-0.3168
-0.7229,-0.2953
-0.6909,-0.2749
-0.6686,-0.2576
-0.6426,-0.2357
-0.6115,-0.2086
-0.5780,-0.1778
-0.5421,-0.1433
-0.5034,-0.1051
-0.4618,-0.0630
-0.4170,-0.0168
-0.3686, 0.0337
-0.3162, 0.0887
-0.2596, 0.1485
-0.1981, 0.2135
-0.1313, 0.2839
-0.0585, 0.3599
 0.0213, 0.4422
 0.1090, 0.5302
 0.2061, 0.6246
 0.3140, 0.7226
 0.4343, 0.8230
 0.5679, 0.9158
 0.7132, 0.9851
 0.8600, 0.9907
 0.9762, 0.8503
 0.9781, 0.4027
 0.7036,-0.5567
 0.0213,-2.0061
-0.8822,-3.3854
-1.4891,-3.9172
-1.6641,-3.6832
-1.6006,-3.2719
-1.4523,-3.0786
-1.2883,-2.9110
-1.1330,-2.1075
-0.9930,-1.7818
-0.8687,-1.5645
-0.7583,-1.3786
-0.6596,-1.2152
-0.5706,-1.0708
-0.4898,-0.9427
-0.4158,-0.8281
-0.3474,-0.7247
-0.2838,-0.6305
-0.2243,-0.5441
-0.1683,-0.4642
-0.1154,-0.3897
-0.0652,-0.3200
-0.0174,-0.2541
 0.0283,-0.1915
 0.0721,-0.1316
 0.1141,-0.0739
 0.1530,-0.0183
 0.1902, 0.0366
 0.2318, 0.0927
 0.2749, 0.1471
 0.3199, 0.1966
 0.3674, 0.2373
 0.4185, 0.2652
 0.4750, 0.2745
 0.5403, 0.2792
 0.6221, 0.2858
 0.7473, 0.2928
 0.9180, 0.2949
 0.8394, 0.2958
 0.6474, 0.3103
 0.5785, 0.3328
 0.5203, 0.3454
 0.4766, 0.3331
 0.4409, 0.3038
 0.4114, 0.2627
 0.3870, 0.2146
 0.3673, 0.1629
 0.3526, 0.1088
 0.3440, 0.0523
 0.3444,-0.0086
 0.3613,-0.0710
 0.4538,-0.1507


Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.059,  0.087, -0.223,  0.789,  0.040, 0.0220,-3.1034
Cpi,Cpv
 0.4559,-0.1695
 0.2353,-0.1748
 0.1270,-0.1846
 0.0247,-0.1981
-0.0700,-0.2152
-0.1640,-0.2367
-0.2605,-0.2637
-0.3632,-0.2982
-0.4763,-0.3438
-0.6065,-0.4074
-0.7641,-0.5061
-0.9787,-0.6715
-1.2625,-0.6787
-2.2333,-0.6550
-3.2206,-0.6330
-3.5102,-0.6568
-2.6968,-0.7800
-1.7477,-0.6245
-1.3729,-0.5508
-1.1814,-0.5016
-1.0620,-0.4661
-0.9781,-0.4374
-0.9150,-0.4130
-0.8651,-0.3913
-0.8245,-0.3714
-0.7906,-0.3528
-0.7618,-0.3356
-0.7431,-0.3215
-0.7209,-0.3030
-0.6936,-0.2792
-0.6640,-0.2517
-0.6320,-0.2205
-0.5974,-0.1856
-0.5601,-0.1468
-0.5197,-0.1039
-0.4759,-0.0567
-0.4284,-0.0049
-0.3767, 0.0518
-0.3204, 0.1139
-0.2589, 0.1817
-0.1916, 0.2557
-0.1174, 0.3363
-0.0353, 0.4243
 0.0564, 0.5194
 0.1597, 0.6225
 0.2771, 0.7306
 0.4112, 0.8407
 0.5640, 0.9391
 0.7323, 0.9979
 0.8974, 0.9499
 0.9980, 0.6610
 0.8935,-0.0703
 0.4265,-1.2705
-0.3105,-2.5204
-0.8907,-3.1034
-1.1328,-3.0418
-1.1568,-2.7129
-1.0865,-2.4554
-0.9852,-2.3256
-0.8790,-2.0634
-0.7777,-1.5437
-0.6840,-1.3421
-0.5983,-1.1903
-0.5199,-1.0552
-0.4478,-0.9332
-0.3811,-0.8231
-0.3191,-0.7234
-0.2610,-0.6326
-0.2064,-0.5493
-0.1547,-0.4724
-0.1056,-0.4009
-0.0588,-0.3341
-0.0140,-0.2712
 0.0290,-0.2116
 0.0704,-0.1549
 0.1102,-0.1007
 0.1486,-0.0484
 0.1844, 0.0020
 0.2187, 0.0521
 0.2575, 0.1054
 0.2980, 0.1601
 0.3405, 0.2145
 0.3857, 0.2656
 0.4344, 0.3087
 0.4886, 0.3387
 0.5517, 0.3497
 0.6310, 0.3531
 0.7531, 0.3588
 0.9198, 0.3607
 0.8430, 0.3616
 0.6550, 0.3774
 0.5872, 0.3980
 0.5297, 0.3904
 0.4862, 0.3613
 0.4504, 0.3179
 0.4207, 0.2669
 0.3959, 0.2132
 0.3756, 0.1588
 0.3602, 0.1037
 0.3507, 0.0468
 0.3500,-0.0148
 0.3657,-0.0784
 0.4559,-0.1695


Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.061,  0.197, -0.225,  0.789,  0.051, 0.0230,-2.4419
Cpi,Cpv
 0.4584,-0.1834
 0.2366,-0.1887
 0.1271,-0.1986
 0.0231,-0.2122
-0.0734,-0.2295
-0.1695,-0.2511
-0.2684,-0.2783
-0.3737,-0.3132
-0.4898,-0.3593
-0.6237,-0.4239
-0.7857,-0.5245
-1.0061,-0.6896
-1.2976,-0.6943
-2.2898,-0.6701
-3.2980,-0.6480
-3.5968,-0.6693
-2.7708,-0.7972
-1.8060,-0.6508
-1.4280,-0.5824
-1.2362,-0.5369
-1.1179,-0.5047
-1.0357,-0.4791
-0.9746,-0.4577
-0.9273,-0.4389
-0.8893,-0.4220
-0.8585,-0.4066
-0.8330,-0.3926
-0.8183,-0.3820
-0.8000,-0.3671
-0.7766,-0.3468
-0.7512,-0.3228
-0.7234,-0.2952
-0.6933,-0.2639
-0.6607,-0.2288
-0.6251,-0.1896
-0.5864,-0.1461
-0.5442,-0.0980
-0.4981,-0.0449
-0.4477, 0.0135
-0.3925, 0.0778
-0.3318, 0.1486
-0.2646, 0.2265
-0.1897, 0.3125
-0.1055, 0.4067
-0.0097, 0.5114
 0.1011, 0.6240
 0.2307, 0.7456
 0.3840, 0.8657
 0.5639, 0.9668
 0.7638, 0.9958
 0.9439, 0.8410
 0.9883, 0.3158
 0.7243,-0.6569
 0.1587,-1.7650
-0.3735,-2.3771
-0.6594,-2.4419
-0.7534,-2.2445
-0.7491,-1.9918
-0.7024,-1.8060
-0.6400,-1.6947
-0.5736,-1.5197
-0.5080,-1.1453
-0.4451,-1.0092
-0.3855,-0.9003
-0.3291,-0.8004
-0.2757,-0.7077
-0.2250,-0.6221
-0.1768,-0.5430
-0.1306,-0.4699
-0.0864,-0.4017
-0.0439,-0.3379
-0.0030,-0.2779
 0.0366,-0.2212
 0.0749,-0.1673
 0.1120,-0.1158
 0.1480,-0.0664
 0.1830,-0.0187
 0.2157, 0.0270
 0.2472, 0.0725
 0.2833, 0.1219
 0.3212, 0.1738
 0.3612, 0.2277
 0.4040, 0.2819
 0.4505, 0.3326
 0.5024, 0.3739
 0.5633, 0.3999
 0.6400, 0.4049
 0.7589, 0.4092
 0.9217, 0.4107
 0.8466, 0.4117
 0.6628, 0.4298
 0.5960, 0.4393
 0.5392, 0.4178
 0.4960, 0.3761
 0.4602, 0.3236
 0.4302, 0.2676
 0.4050, 0.2119
 0.3842, 0.1569
 0.3680, 0.1016
 0.3578, 0.0445
 0.3560,-0.0180
 0.3706,-0.0825
 0.4584,-0.1834


Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-11.000,    0.062,  0.304, -0.227,  0.789,  0.072, 0.0238,-1.8781
Cpi,Cpv
 0.4613,-0.1949
 0.2384,-0.2002
 0.1277,-0.2102
 0.0221,-0.2237
-0.0762,-0.2411
-0.1743,-0.2629
-0.2754,-0.2903
-0.3834,-0.3254
