xflr5 v6.58

NACA 2412 - 15
Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.021, -0.368, -0.195,  0.797,  0.022, 0.0129,-5.8755
Cpi,Cpv
 0.4267, 0.2011
 0.2362, 0.1762
 0.1550, 0.1333
 0.0853, 0.0864
 0.0261, 0.0396
-0.0284,-0.0052
-0.0807,-0.0474
-0.1329,-0.0885
-0.1872,-0.1431
-0.2463,-0.2895
-0.3145,-0.5649
-0.4033,-0.7053
-0.5167,-0.7033
-0.8892,-0.6945
-1.2048,-0.7846
-1.2988,-0.9367
-1.0423,-0.8313
-0.6701,-0.5904
-0.5096,-0.4644
-0.4221,-0.3918
-0.3628,-0.3400
-0.3170,-0.2989
-0.2790,-0.2639
-0.2456,-0.2326
-0.2151,-0.2036
-0.1864,-0.1762
-0.1586,-0.1500
-0.1354,-0.1265
-0.1076,-0.0989
-0.0744,-0.0662
-0.0377,-0.0301
 0.0024, 0.0096
 0.0461, 0.0529
 0.0936, 0.0999
 0.1449, 0.1509
 0.2004, 0.2059
 0.2600, 0.2652
 0.3241, 0.3288
 0.3927, 0.3969
 0.4659, 0.4695
 0.5434, 0.5467
 0.6251, 0.6274
 0.7097, 0.7118
 0.7955, 0.7965
 0.8784, 0.8791
 0.9504, 0.9503
 0.9956, 0.9955
 0.9822, 0.9829
 0.8455, 0.8500
 0.4587, 0.4723
-0.3991,-0.3602
-1.9659,-1.8770
-4.0618,-3.8858
-5.8414,-5.5516
-6.2759,-5.8755
-5.7164,-5.2480
-4.8888,-4.9505
-4.1174,-4.8406
-3.4780,-3.4651
-2.9637,-2.8263
-2.5500,-2.4413
-2.2134,-2.1334
-1.9355,-1.8738
-1.7024,-1.6523
-1.5040,-1.4616
-1.3327,-1.2958
-1.1830,-1.1501
-1.0507,-1.0208
-0.9327,-0.9050
-0.8265,-0.8005
-0.7301,-0.7054
-0.6423,-0.6185
-0.5616,-0.5385
-0.4874,-0.4647
-0.4187,-0.3961
-0.3551,-0.3324
-0.2961,-0.2729
-0.2436,-0.2175
-0.1957,-0.1649
-0.1433,-0.1127
-0.0908,-0.0625
-0.0377,-0.0153
 0.0163, 0.0280
 0.0724, 0.0661
 0.1325, 0.0979
 0.1997, 0.1227
 0.2846, 0.1402
 0.3991, 0.1464
 0.6690, 0.1482
 0.4872, 0.1531
 0.3348, 0.1739
 0.2806, 0.1832
 0.2453, 0.1874
 0.2235, 0.1883
 0.2097, 0.1876
 0.2021, 0.1866
 0.1997, 0.1860
 0.2023, 0.1865
 0.2103, 0.1882
 0.2252, 0.1912
 0.2507, 0.1952
 0.2922, 0.1996
 0.4267, 0.2011


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.019, -0.261, -0.200,  0.800,  0.025, 0.0139,-5.0435
Cpi,Cpv
 0.4259, 0.2040
 0.2328, 0.1803
 0.1499, 0.1385
 0.0782, 0.0914
 0.0169, 0.0432
-0.0398,-0.0037
-0.0944,-0.0486
-0.1491,-0.0942
-0.2061,-0.1589
-0.2682,-0.3287
-0.3398,-0.6135
-0.4329,-0.7256
-0.5515,-0.7224
-0.9364,-0.7121
-1.2614,-0.8019
-1.3592,-0.9597
-1.0973,-0.8585
-0.7172,-0.6202
-0.5554,-0.4971
-0.4685,-0.4270
-0.4103,-0.3776
-0.3662,-0.3388
-0.3300,-0.3061
-0.2986,-0.2772
-0.2702,-0.2507
-0.2438,-0.2257
-0.2186,-0.2022
-0.1982,-0.1815
-0.1732,-0.1566
-0.1427,-0.1267
-0.1088,-0.0932
-0.0713,-0.0561
-0.0302,-0.0153
 0.0147, 0.0292
 0.0636, 0.0778
 0.1167, 0.1307
 0.1743, 0.1880
 0.2366, 0.2499
 0.3039, 0.3168
 0.3762, 0.3886
 0.4538, 0.4658
 0.5366, 0.5478
 0.6243, 0.6350
 0.7157, 0.7248
 0.8083, 0.8165
 0.8966, 0.9024
 0.9688, 0.9722
 0.9999, 0.9997
 0.9379, 0.9332
 0.6763, 0.6662
 0.0208, 0.0094
-1.2597,-1.2614
-3.0682,-3.0345
-4.7013,-4.5996
-5.2210,-5.0435
-4.8536,-4.5886
-4.2094,-4.2260
-3.5817,-4.0818
-3.0492,-3.3219
-2.6143,-2.5579
-2.2604,-2.1951
-1.9698,-1.9269
-1.7278,-1.7006
-1.5235,-1.5054
-1.3484,-1.3359
-1.1964,-1.1873
-1.0627,-1.0561
-0.9441,-0.9390
-0.8376,-0.8337
-0.7414,-0.7383
-0.6538,-0.6513
-0.5736,-0.5714
-0.4997,-0.4977
-0.4313,-0.4295
-0.3679,-0.3660
-0.3091,-0.3069
-0.2544,-0.2516
-0.2055,-0.2002
-0.1610,-0.1512
-0.1118,-0.1011
-0.0623,-0.0513
-0.0121,-0.0023
 0.0392, 0.0453
 0.0929, 0.0907
 0.1506, 0.1325
 0.2154, 0.1692
 0.2978, 0.1994
 0.4095, 0.2217
 0.6746, 0.2297
 0.4958, 0.2310
 0.3453, 0.2337
 0.2912, 0.2298
 0.2556, 0.2223
 0.2331, 0.2136
 0.2186, 0.2054
 0.2101, 0.1986
 0.2067, 0.1939
 0.2082, 0.1915
 0.2150, 0.1915
 0.2287, 0.1937
 0.2529, 0.1978
 0.2932, 0.2029
 0.4259, 0.2040


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.018, -0.154, -0.202,  0.802,  0.029, 0.0146,-4.2123
Cpi,Cpv
 0.4253, 0.2011
 0.2299, 0.1790
 0.1452, 0.1392
 0.0715, 0.0928
 0.0082, 0.0441
-0.0507,-0.0045
-0.1076,-0.0522
-0.1648,-0.1029
-0.2244,-0.1789
-0.2896,-0.3666
-0.3646,-0.6622
-0.4619,-0.7447
-0.5857,-0.7403
-0.9830,-0.7285
-1.3173,-0.8176
-1.4190,-0.9810
-1.1516,-0.8845
-0.7638,-0.6495
-0.6010,-0.5296
-0.5147,-0.4622
-0.4578,-0.4153
-0.4154,-0.3790
-0.3811,-0.3488
-0.3518,-0.3224
-0.3258,-0.2984
-0.3019,-0.2762
-0.2793,-0.2554
-0.2620,-0.2378
-0.2401,-0.2159
-0.2125,-0.1889
-0.1815,-0.1583
-0.1470,-0.1241
-0.1088,-0.0862
-0.0668,-0.0445
-0.0208, 0.0014
 0.0295, 0.0515
 0.0845, 0.1063
 0.1443, 0.1659
 0.2094, 0.2307
 0.2800, 0.3011
 0.3564, 0.3771
 0.4391, 0.4594
 0.5280, 0.5473
 0.6229, 0.6415
 0.7225, 0.7389
 0.8234, 0.8377
 0.9174, 0.9275
 0.9862, 0.9905
 0.9889, 0.9839
 0.8383, 0.8201
 0.3665, 0.3290
-0.6482,-0.7004
-2.1809,-2.2352
-3.6618,-3.6768
-4.2452,-4.2123
-4.0468,-3.9396
-3.5686,-3.5170
-3.0729,-3.3263
-2.6397,-3.1712
-2.2790,-2.2989
-1.9813,-1.9400
-1.7340,-1.7119
-1.5262,-1.5191
-1.3492,-1.3503
-1.1964,-1.2017
-1.0628,-1.0703
-0.9446,-0.9534
-0.8391,-0.8484
-0.7439,-0.7535
-0.6574,-0.6671
-0.5782,-0.5879
-0.5054,-0.5149
-0.4381,-0.4474
-0.3755,-0.3846
-0.3173,-0.3260
-0.2631,-0.2713
-0.2125,-0.2201
-0.1674,-0.1726
-0.1261,-0.1272
-0.0801,-0.0801
-0.0337,-0.0327
 0.0137, 0.0148
 0.0625, 0.0621
 0.1136, 0.1087
 0.1689, 0.1537
 0.2313, 0.1953
 0.3112, 0.2316
 0.4202, 0.2603
 0.6803, 0.2721
 0.5047, 0.2710
 0.3561, 0.2658
 0.3021, 0.2543
 0.2662, 0.2403
 0.2431, 0.2264
 0.2279, 0.2140
 0.2185, 0.2042
 0.2141, 0.1971
 0.2145, 0.1928
 0.2203, 0.1914
 0.2327, 0.1926
 0.2556, 0.1960
 0.2947, 0.2010
 0.4253, 0.2011


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.017, -0.050, -0.204,  0.804,  0.037, 0.0152,-3.4477
Cpi,Cpv
 0.4252, 0.1946
 0.2275, 0.1745
 0.1411, 0.1376
 0.0654, 0.0931
 0.0001, 0.0448
-0.0610,-0.0050
-0.1202,-0.0559
-0.1798,-0.1129
-0.2421,-0.2014
-0.3103,-0.4031
-0.3888,-0.7104
-0.4903,-0.7570
-0.6193,-0.7513
-1.0290,-0.7379
-1.3725,-0.8243
-1.4781,-0.9931
-1.2053,-0.9032
-0.8100,-0.6738
-0.6463,-0.5583
-0.5607,-0.4942
-0.5052,-0.4503
-0.4645,-0.4167
-0.4323,-0.3892
-0.4053,-0.3656
-0.3817,-0.3444
-0.3604,-0.3251
-0.3407,-0.3073
-0.3266,-0.2928
-0.3080,-0.2741
-0.2836,-0.2503
-0.2558,-0.2229
-0.2245,-0.1918
-0.1896,-0.1571
-0.1509,-0.1185
-0.1082,-0.0758
-0.0611,-0.0287
-0.0094, 0.0230
 0.0473, 0.0798
 0.1094, 0.1419
 0.1773, 0.2098
 0.2516, 0.2840
 0.3327, 0.3649
 0.4212, 0.4530
 0.5174, 0.5483
 0.6211, 0.6505
 0.7308, 0.7575
 0.8417, 0.8639
 0.9410, 0.9554
 0.9985, 1.0000
 0.9447, 0.9243
 0.6375, 0.5845
-0.1322,-0.2304
-1.4010,-1.5316
-2.7244,-2.8575
-3.3497,-3.4477
-3.2969,-3.3465
-2.9672,-2.9761
-2.5918,-2.7220
-2.2499,-2.5986
-1.9581,-2.2773
-1.7129,-1.7201
-1.5064,-1.5008
-1.3308,-1.3400
-1.1798,-1.1981
-1.0482,-1.0706
-0.9322,-0.9561
-0.8289,-0.8531
-0.7359,-0.7598
-0.6516,-0.6749
-0.5744,-0.5971
-0.5035,-0.5254
-0.4379,-0.4590
-0.3769,-0.3973
-0.3200,-0.3397
-0.2669,-0.2859
-0.2172,-0.2354
-0.1706,-0.1881
-0.1291,-0.1444
-0.0911,-0.1027
-0.0483,-0.0587
-0.0048,-0.0139
 0.0399, 0.0318
 0.0860, 0.0783
 0.1346, 0.1256
 0.1875, 0.1732
 0.2476, 0.2200
 0.3250, 0.2636
 0.4311, 0.3004
 0.6862, 0.3170
 0.5137, 0.3131
 0.3672, 0.2985
 0.3133, 0.2780
 0.2772, 0.2567
 0.2535, 0.2371
 0.2375, 0.2207
 0.2273, 0.2079
 0.2220, 0.1984
 0.2213, 0.1923
 0.2259, 0.1892
 0.2372, 0.1891
 0.2588, 0.1915
 0.2966, 0.1962
 0.4252, 0.1946


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-11.000,    0.017,  0.053, -0.204,  0.806,  0.047, 0.0159,-2.7610
Cpi,Cpv
 0.4254, 0.1849
 0.2256, 0.1666
 0.1374, 0.1326
 0.0599, 0.0904
-0.0075, 0.0430
-0.0706,-0.0075
-0.1321,-0.0612
-0.1942,-0.1243
-0.2592,-0.2241
-0.3304,-0.4388
-0.4123,-0.7648
-0.5180,-0.7646
-0.6522,-0.7576
-1.0742,-0.7426
-1.4268,-0.8244
-1.5363,-0.9979
-1.2583,-0.9164
-0.8557,-0.6947
-0.6911,-0.5846
-0.6064,-0.5243
-0.5524,-0.4836
-0.5137,-0.4531
-0.4836,-0.4286
-0.4590,-0.4079
-0.4379,-0.3897
-0.4194,-0.3734
-0.4026,-0.3588
-0.3920,-0.3477
-0.3769,-0.3324
-0.3559,-0.3120
-0.3316,-0.2880
-0.3038,-0.2604
-0.2725,-0.2292
-0.2375,-0.1941
-0.1985,-0.1549
-0.1552,-0.1113
-0.1073,-0.0631
-0.0543,-0.0098
 0.0040, 0.0489
