xflr5 v6.58

NACA 2412 - 27
Reynolds =,  500000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.059, -0.347, -0.161,  0.807,  0.029, 0.0129,-5.1180
Cpi,Cpv
 0.4519,-0.1148
 0.2340,-0.1193
 0.1285,-0.1276
 0.0296,-0.1389
-0.0613,-0.1532
-0.1510,-0.1708
-0.2427,-0.1925
-0.3399,-0.2197
-0.4467,-0.2548
-0.5695,-0.3036
-0.7182,-0.3915
-0.9208,-0.4382
-1.1889,-0.4298
-2.1160,-0.4100
-3.0603,-0.3945
-3.3315,-0.4160
-2.5446,-0.5133
-1.6280,-0.4145
-1.2604,-0.3588
-1.0698,-0.3173
-0.9489,-0.2849
-0.8619,-0.2569
-0.7950,-0.2315
-0.7406,-0.2076
-0.6949,-0.1845
-0.6554,-0.1620
-0.6205,-0.1400
-0.5946,-0.1199
-0.5651,-0.0953
-0.5305,-0.0656
-0.4935,-0.0320
-0.4538, 0.0052
-0.4113, 0.0462
-0.3658, 0.0910
-0.3170, 0.1399
-0.2645, 0.1930
-0.2079, 0.2503
-0.1470, 0.3121
-0.0811, 0.3786
-0.0099, 0.4496
 0.0674, 0.5255
 0.1514, 0.6053
 0.2430, 0.6893
 0.3433, 0.7744
 0.4530, 0.8590
 0.5726, 0.9346
 0.7007, 0.9888
 0.8313, 0.9929
 0.9467, 0.8911
 0.9999, 0.5702
 0.8842,-0.1612
 0.4188,-1.5180
-0.4909,-3.3344
-1.5558,-4.8443
-2.1679,-5.1180
-2.2526,-4.5388
-2.0841,-4.2835
-1.8461,-4.2048
-1.6115,-3.7892
-1.4017,-2.8048
-1.2194,-2.2428
-1.0618,-1.9134
-0.9247,-1.6661
-0.8043,-1.4589
-0.6975,-1.2794
-0.6017,-1.1215
-0.5150,-0.9810
-0.4358,-0.8548
-0.3628,-0.7403
-0.2951,-0.6357
-0.2320,-0.5396
-0.1728,-0.4511
-0.1170,-0.3696
-0.0642,-0.2952
-0.0140,-0.2281
 0.0337,-0.1690
 0.0794,-0.1186
 0.1216,-0.0777
 0.1617,-0.0466
 0.2061,-0.0271
 0.2519,-0.0190
 0.2994,-0.0094
 0.3493, 0.0009
 0.4027, 0.0111
 0.4614, 0.0210
 0.5291, 0.0305
 0.6132, 0.0396
 0.7417, 0.0483
 0.9162, 0.0510
 0.8358, 0.0518
 0.6399, 0.0651
 0.5700, 0.0805
 0.5112, 0.0991
 0.4673, 0.1248
 0.4316, 0.1397
 0.4024, 0.1383
 0.3785, 0.1248
 0.3594, 0.1006
 0.3454, 0.0673
 0.3377, 0.0262
 0.3391,-0.0212
 0.3572,-0.0698
 0.4519,-0.1148


Reynolds =,  500000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.100, -0.420, -0.069,  0.811,  0.029, 0.0022,-3.4435
Cpi,Cpv
 0.4538,-0.0729
 0.2344,-0.0770
 0.1275,-0.0847
 0.0269,-0.0952
-0.0660,-0.1084
-0.1578,-0.1249
-0.2520,-0.1453
-0.3519,-0.1711
-0.4619,-0.2050
-0.5884,-0.2531
-0.7416,-0.3497
-0.9502,-0.3766
-1.2262,-0.3683
-2.1754,-0.3493
-3.1413,-0.3346
-3.4217,-0.3460
-2.6214,-0.4386
-1.6883,-0.3691
-1.3170,-0.3286
-1.1259,-0.2962
-1.0057,-0.2706
-0.9202,-0.2481
-0.8550,-0.2276
-0.8029,-0.2082
