xflr5 v6.58

NACA 2412 - 06
Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.029, -0.890, -0.113,  0.890,  0.015, 0.0035,-8.4480
Cpi,Cpv
 0.4298, 0.0965
 0.2671, 0.0881
 0.2063, 0.0625
 0.1594, 0.0436
 0.1234, 0.0279
 0.0936, 0.0097
 0.0677,-0.0389
 0.0445,-0.0897
 0.0227,-0.1035
 0.0013,-0.1184
-0.0212,-0.1351
-0.0485,-0.1550
-0.0817,-0.1805
-0.1886,-0.2491
-0.2718,-0.2937
-0.2940,-0.3068
-0.2263,-0.2720
-0.1167,-0.1873
-0.0599,-0.1304
-0.0258,-0.0953
 0.0009,-0.0675
 0.0243,-0.0431
 0.0463,-0.0204
 0.0679, 0.0018
 0.0897, 0.0239
 0.1120, 0.0462
 0.1351, 0.0688
 0.1564, 0.0904
 0.1825, 0.1164
 0.2139, 0.1474
 0.2489, 0.1823
 0.2877, 0.2208
 0.3301, 0.2631
 0.3762, 0.3091
 0.4260, 0.3589
 0.4793, 0.4125
 0.5362, 0.4699
 0.5963, 0.5309
 0.6592, 0.5955
 0.7243, 0.6628
 0.7904, 0.7325
 0.8554, 0.8025
 0.9160, 0.8711
 0.9665, 0.9328
 0.9970, 0.9808
 0.9897, 0.9999
 0.9125, 0.9643
 0.7053, 0.8237
 0.2558, 0.4843
-0.6400,-0.2282
-2.3015,-1.5892
-4.9766,-3.8262
-8.1473,-6.5220
-10.4340,-8.4480
-10.4819,-8.3658
-9.1464,-7.7057
-7.5963,-7.4907
-6.2665,-5.8511
-5.2158,-4.5112
-4.3989,-3.7814
-3.7592,-3.2521
-3.2505,-2.8275
-2.8389,-2.4778
-2.5000,-2.1859
-2.2164,-1.9389
-1.9756,-1.7273
-1.7685,-1.5439
-1.5881,-1.3833
-1.4296,-1.2413
-1.2890,-1.1148
-1.1633,-1.0012
-1.0503,-0.8988
-0.9482,-0.8060
-0.8556,-0.7215
-0.7713,-0.6444
-0.6946,-0.5740
-0.6250,-0.5094
-0.5645,-0.4505
-0.5113,-0.3958
-0.4537,-0.3433
-0.3976,-0.2941
-0.3426,-0.2484
-0.2886,-0.2067
-0.2349,-0.1693
-0.1805,-0.1363
-0.1236,-0.1078
-0.0571,-0.0838
 0.0180,-0.0640
 0.2257,-0.0550
 0.0806,-0.0496
 0.0257,-0.0336
 0.0154,-0.0182
 0.0173,-0.0033
 0.0262, 0.0110
 0.0396, 0.0247
 0.0565, 0.0377
 0.0768, 0.0499
 0.1008, 0.0611
 0.1293, 0.0713
 0.1640, 0.0802
 0.2095, 0.0877
 0.2690, 0.0934
 0.4298, 0.0965


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.024, -0.818, -0.116,  0.872,  0.018, 0.0045,-7.5706
Cpi,Cpv
 0.4269, 0.1379
 0.2611, 0.1214
 0.1984, 0.0891
 0.1494, 0.0637
 0.1115, 0.0434
 0.0797, 0.0276
 0.0518, 0.0068
 0.0266,-0.0752
 0.0027,-0.1216
-0.0209,-0.1349
-0.0458,-0.1491
-0.0757,-0.1661
-0.1119,-0.1892
-0.2243,-0.2571
-0.3107,-0.3025
-0.3341,-0.3172
-0.2648,-0.2841
-0.1533,-0.2022
-0.0971,-0.1481
-0.0642,-0.1155
-0.0390,-0.0900
-0.0173,-0.0678
 0.0029,-0.0473
 0.0226,-0.0273
 0.0424,-0.0074
 0.0627, 0.0127
 0.0837, 0.0331
 0.1026, 0.0523
 0.1264, 0.0760
 0.1557, 0.1049
 0.1887, 0.1376
 0.2256, 0.1742
 0.2663, 0.2146
 0.3109, 0.2589
 0.3594, 0.3072
 0.4118, 0.3595
 0.4682, 0.4160
 0.5284, 0.4765
 0.5922, 0.5410
 0.6593, 0.6093
 0.7286, 0.6804
 0.7990, 0.7540
 0.8677, 0.8272
 0.9305, 0.8975
 0.9794, 0.9573
 1.0000, 0.9955
 0.9655, 0.9888
 0.8253, 0.8943
 0.4825, 0.6270
-0.2424, 0.0317
-1.6391,-1.1512
-3.9583,-3.1478
-6.7987,-5.6306
-8.9512,-7.4910
-9.1519,-7.5706
-8.0837,-6.8472
-6.7747,-6.6068
-5.6281,-5.7208
-4.7110,-4.2781
-3.9916,-3.5329
-3.4245,-3.0446
-2.9709,-2.6585
-2.6021,-2.3393
-2.2970,-2.0711
-2.0407,-1.8433
-1.8222,-1.6473
-1.6335,-1.4770
-1.4688,-1.3274
-1.3235,-1.1948
-1.1942,-1.0764
-1.0784,-0.9700
-0.9740,-0.8738
-0.8794,-0.7864
-0.7933,-0.7068
-0.7149,-0.6340
-0.6435,-0.5673
-0.5785,-0.5062
-0.5222,-0.4504
-0.4725,-0.3985
-0.4185,-0.3473
-0.3657,-0.2980
-0.3137,-0.2508
-0.2625,-0.2059
-0.2115,-0.1635
-0.1595,-0.1238
-0.1050,-0.0870
-0.0409,-0.0534
 0.0320,-0.0237
 0.2363,-0.0066
 0.0929,-0.0055
 0.0377, 0.0049
 0.0264, 0.0161
 0.0271, 0.0282
 0.0347, 0.0409
 0.0468, 0.0540
 0.0625, 0.0673
 0.0815, 0.0805
 0.1042, 0.0933
 0.1314, 0.1055
 0.1648, 0.1166
 0.2090, 0.1262
 0.2674, 0.1339
 0.4269, 0.1379


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.021, -0.727, -0.117,  0.863,  0.019, 0.0051,-6.6961
Cpi,Cpv
 0.4242, 0.1594
 0.2555, 0.1387
 0.1909, 0.1022
 0.1400, 0.0724
 0.1001, 0.0479
 0.0663, 0.0290
 0.0365, 0.0116
 0.0091,-0.0419
-0.0168,-0.1465
-0.0427,-0.1589
-0.0700,-0.1712
-0.1026,-0.1859
-0.1418,-0.2067
-0.2598,-0.2736
-0.3493,-0.3200
-0.3740,-0.3364
-0.3032,-0.3047
-0.1897,-0.2249
-0.1342,-0.1732
-0.1026,-0.1427
-0.0791,-0.1193
-0.0592,-0.0993
-0.0409,-0.0809
-0.0232,-0.0631
-0.0054,-0.0455
 0.0126,-0.0276
 0.0314,-0.0096
 0.0477, 0.0070
 0.0690, 0.0283
 0.0959, 0.0548
 0.1267, 0.0852
 0.1615, 0.1195
 0.2001, 0.1578
 0.2428, 0.2001
 0.2896, 0.2465
 0.3406, 0.2972
 0.3959, 0.3524
 0.4556, 0.4120
 0.5195, 0.4760
 0.5875, 0.5446
 0.6591, 0.6170
 0.7334, 0.6933
 0.8086, 0.7710
 0.8815, 0.8488
 0.9461, 0.9204
 0.9909, 0.9773
 0.9943, 0.9999
 0.9142, 0.9519
 0.6684, 0.7605
 0.1008, 0.2874
-1.0495,-0.7031
-3.0322,-2.4409
-5.5533,-4.6809
-7.5656,-6.4584
-7.8979,-6.6961
-7.0746,-5.9704
-5.9898,-5.6996
-5.0152,-5.4220
-4.2242,-3.9653
-3.5975,-3.2352
-3.0994,-2.7969
-2.6985,-2.4531
-2.3706,-2.1667
-2.0981,-1.9245
-1.8680,-1.7175
-1.6711,-1.5386
-1.5004,-1.3825
-1.3508,-1.2449
-1.2183,-1.1226
-1.1002,-1.0130
-0.9939,-0.9143
-0.8979,-0.8247
-0.8106,-0.7432
-0.7311,-0.6688
-0.6585,-0.6006
-0.5922,-0.5381
-0.5317,-0.4808
-0.4794,-0.4287
-0.4334,-0.3802
-0.3829,-0.3317
-0.3333,-0.2845
-0.2843,-0.2386
-0.2360,-0.1942
-0.1876,-0.1514
-0.1380,-0.1102
-0.0859,-0.0708
-0.0241,-0.0332
 0.0465, 0.0015
 0.2472, 0.0234
 0.1056, 0.0213
 0.0501, 0.0264
 0.0378, 0.0338
 0.0374, 0.0432
 0.0438, 0.0542
 0.0547, 0.0663
 0.0690, 0.0794
 0.0868, 0.0930
 0.1081, 0.1068
 0.1340, 0.1205
 0.1661, 0.1334
 0.2089, 0.1450
 0.2662, 0.1545
 0.4242, 0.1594


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.016, -0.641, -0.117,  0.855,  0.022, 0.0055,-5.9650
