xflr5 v6.58

NACA 2412 - 27
Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.059, -0.162, -0.207,  0.789,  0.027, 0.0187,-4.7695
Cpi,Cpv
 0.4519,-0.1205
 0.2340,-0.1257
 0.1285,-0.1355
 0.0296,-0.1488
-0.0613,-0.1659
-0.1510,-0.1874
-0.2427,-0.2146
-0.3399,-0.2495
-0.4467,-0.2958
-0.5695,-0.3609
-0.7182,-0.4630
-0.9208,-0.6254
-1.1889,-0.6287
-2.1160,-0.6061
-3.0603,-0.5853
-3.3315,-0.6169
-2.5446,-0.7238
-1.6280,-0.5567
-1.2604,-0.4741
-1.0698,-0.4185
-0.9489,-0.3774
-0.8619,-0.3433
-0.7950,-0.3136
-0.7406,-0.2864
-0.6949,-0.2609
-0.6554,-0.2366
-0.6205,-0.2133
-0.5946,-0.1927
-0.5651,-0.1677
-0.5305,-0.1375
-0.4935,-0.1037
-0.4538,-0.0661
-0.4113,-0.0249
-0.3658, 0.0201
-0.3170, 0.0691
-0.2645, 0.1223
-0.2079, 0.1800
-0.1470, 0.2422
-0.0811, 0.3092
-0.0099, 0.3812
 0.0674, 0.4584
 0.1514, 0.5404
 0.2430, 0.6276
 0.3433, 0.7175
 0.4530, 0.8095
 0.5726, 0.8962
 0.7007, 0.9681
 0.8313, 1.0000
 0.9467, 0.9427
 0.9999, 0.6945
 0.8842, 0.0727
 0.4188,-1.1376
-0.4909,-2.8361
-1.5558,-4.3380
-2.1679,-4.7695
-2.2526,-4.3338
-2.0841,-3.9888
-1.8461,-3.8534
-1.6115,-3.1532
-1.4017,-2.3997
-1.2194,-2.0425
-1.0618,-1.7818
-0.9247,-1.5617
-0.8043,-1.3712
-0.6975,-1.2051
-0.6017,-1.0588
-0.5150,-0.9288
-0.4358,-0.8122
-0.3628,-0.7065
-0.2951,-0.6099
-0.2320,-0.5208
-0.1728,-0.4380
-0.1170,-0.3605
-0.0642,-0.2874
-0.0140,-0.2181
 0.0337,-0.1521
 0.0794,-0.0891
 0.1216,-0.0295
 0.1617, 0.0269
 0.2061, 0.0796
 0.2519, 0.1245
 0.2994, 0.1583
 0.3493, 0.1776
 0.4027, 0.1825
 0.4614, 0.1902
