xflr5 v6.58

NACA 2412 - 24
Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.044, -0.208, -0.206,  0.790,  0.026, 0.0167,-5.0406
Cpi,Cpv
 0.4426,-0.0579
 0.2303,-0.0637
 0.1304,-0.0746
 0.0385,-0.0895
-0.0446,-0.1088
-0.1255,-0.1332
-0.2072,-0.1640
-0.2927,-0.2039
-0.3856,-0.2571
-0.4914,-0.3322
-0.6181,-0.4514
-0.7892,-0.7055
-1.0138,-0.6971
-1.7806,-0.6729
-2.5252,-0.6545
-2.7407,-0.7390
-2.1243,-0.7884
-1.3653,-0.5865
-1.0570,-0.4864
-0.8957,-0.4234
-0.7921,-0.3776
-0.7167,-0.3404
-0.6578,-0.3084
-0.6092,-0.2794
-0.5677,-0.2525
-0.5311,-0.2269
-0.4981,-0.2025
-0.4729,-0.1808
-0.4438,-0.1549
-0.4094,-0.1238
-0.3723,-0.0891
-0.3322,-0.0508
-0.2892,-0.0088
-0.2428, 0.0369
-0.1928, 0.0866
-0.1390, 0.1405
-0.0809, 0.1988
-0.0183, 0.2616
 0.0493, 0.3291
 0.1224, 0.4015
 0.2014, 0.4790
 0.2869, 0.5609
 0.3795, 0.6478
 0.4796, 0.7368
 0.5872, 0.8270
 0.7011, 0.9106
 0.8171, 0.9768
 0.9241, 0.9989
 0.9942, 0.9245
 0.9634, 0.6463
 0.6981,-0.0246
-0.0013,-1.3089
-1.1798,-3.0829
-2.4265,-4.6301
-3.0303,-5.0406
-2.9964,-4.5590
-2.6962,-4.2234
-2.3480,-4.0932
-2.0279,-3.2325
-1.7529,-2.5044
-1.5205,-2.1432
-1.3237,-1.8716
-1.1556,-1.6420
-1.0102,-1.4441
-0.8829,-1.2722
-0.7702,-1.1213
-0.6692,-0.9877
-0.5780,-0.8681
-0.4947,-0.7602
-0.4183,-0.6620
-0.3475,-0.5718
-0.2817,-0.4884
-0.2201,-0.4108
-0.1623,-0.3381
-0.1078,-0.2696
-0.0563,-0.2048
-0.0074,-0.1432
 0.0373,-0.0849
 0.0794,-0.0290
 0.1259, 0.0254
 0.1736, 0.0752
 0.2228, 0.1178
 0.2741, 0.1506
 0.3287, 0.1717
 0.3886, 0.1769
 0.4574, 0.1839
 0.5439, 0.1919
 0.6733, 0.2000
 0.8795, 0.2027
 0.7686, 0.2042
 0.5753, 0.2196
 0.5054, 0.2417
 0.4500, 0.2613
 0.4096, 0.2597
 0.3779, 0.2448
 0.3529, 0.2200
 0.3333, 0.1886
 0.3188, 0.1530
 0.3096, 0.1147
 0.3070, 0.0742
 0.3140, 0.0314
 0.3377,-0.0113
 0.4426,-0.0579


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.044, -0.101, -0.211,  0.790,  0.030, 0.0182,-4.2262
Cpi,Cpv
 0.4438,-0.0901
 0.2297,-0.0958
 0.1283,-0.1067
 0.0346,-0.1215
-0.0505,-0.1405
-0.1336,-0.1644
-0.2177,-0.1946
-0.3060,-0.2332
-0.4020,-0.2842
-0.5113,-0.3555
-0.6423,-0.4677
-0.8191,-0.7036
-1.0509,-0.6947
-1.8375,-0.6702
-2.6003,-0.6516
-2.8235,-0.7287
-2.1958,-0.7912
-1.4225,-0.6034
-1.1111,-0.5111
-0.9495,-0.4530
-0.8467,-0.4111
-0.7728,-0.3773
-0.7157,-0.3484
-0.6693,-0.3225
-0.6301,-0.2985
-0.5962,-0.2760
-0.5661,-0.2546
-0.5442,-0.2361
-0.5184,-0.2133
-0.4874,-0.1853
-0.4536,-0.1536
-0.4170,-0.1183
-0.3775,-0.0792
-0.3346,-0.0363
-0.2883, 0.0106
-0.2381, 0.0619
-0.1838, 0.1177
-0.1248, 0.1782
-0.0609, 0.2438
 0.0087, 0.3148
 0.0844, 0.3913
 0.1670, 0.4738
 0.2573, 0.5616
 0.3564, 0.6553
 0.4651, 0.7516
 0.5836, 0.8485
 0.7105, 0.9352
 0.8394, 0.9933
 0.9518, 0.9793
 0.9994, 0.8046
 0.8728, 0.2987
 0.3881,-0.7463
-0.5479,-2.2874
-1.6367,-3.7172
-2.2577,-4.2262
-2.3393,-3.9264
-2.1636,-3.5212
-1.9186,-3.3450
-1.6782,-3.0875
-1.4639,-2.2533
-1.2782,-1.8983
-1.1179,-1.6657
-0.9787,-1.4693
-0.8568,-1.2975
-0.7488,-1.1464
-0.6521,-1.0128
-0.5647,-0.8936
-0.4849,-0.7864
-0.4116,-0.6891
-0.3438,-0.6002
-0.2806,-0.5183
-0.2214,-0.4424
-0.1657,-0.3716
-0.1131,-0.3051
-0.0633,-0.2424
-0.0160,-0.1829
 0.0291,-0.1261
 0.0705,-0.0720
 0.1095,-0.0191
 0.1531, 0.0351
 0.1980, 0.0883
 0.2446, 0.1386
 0.2934, 0.1832
 0.3457, 0.2192
 0.4033, 0.2439
 0.4697, 0.2526
 0.5538, 0.2570
 0.6800, 0.2634
 0.8820, 0.2656
 0.7733, 0.2672
 0.5836, 0.2842
 0.5145, 0.3062
 0.4595, 0.3057
 0.4192, 0.2892
 0.3872, 0.2613
 0.3618, 0.2262
 0.3416, 0.1871
 0.3263, 0.1460
 0.3163, 0.1037
 0.3127, 0.0600
 0.3186, 0.0135
 0.3411,-0.0333
 0.4438,-0.0901


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.044,  0.001, -0.214,  0.791,  0.037, 0.0195,-3.4765
Cpi,Cpv
 0.4453,-0.1212
 0.2297,-0.1269
 0.1268,-0.1377
 0.0312,-0.1523
-0.0558,-0.1710
-0.1411,-0.1943
-0.2276,-0.2235
-0.3185,-0.2607
-0.4176,-0.3093
-0.5305,-0.3765
-0.6658,-0.4816
-0.8480,-0.6945
-1.0871,-0.6851
-1.8933,-0.6604
-2.6740,-0.6418
-2.9048,-0.7097
-2.2662,-0.7850
-1.4790,-0.6141
-1.1646,-0.5309
-1.0028,-0.4784
-0.9011,-0.4408
-0.8287,-0.4108
-0.7736,-0.3853
-0.7294,-0.3627
-0.6928,-0.3419
-0.6616,-0.3225
-0.6345,-0.3044
-0.6162,-0.2893
-0.5941,-0.2699
-0.5665,-0.2451
-0.5364,-0.2167
-0.5036,-0.1846
-0.4678,-0.1487
-0.4289,-0.1090
-0.3867,-0.0652
-0.3406,-0.0170
-0.2905, 0.0358
-0.2359, 0.0936
-0.1764, 0.1566
-0.1113, 0.2254
-0.0400, 0.3001
 0.0383, 0.3816
 0.1247, 0.4694
 0.2207, 0.5650
 0.3276, 0.6657
 0.4469, 0.7719
 0.5796, 0.8749
 0.7235, 0.9625
 0.8682, 0.9998
 0.9800, 0.9137
 0.9732, 0.5567
 0.6824,-0.2735
-0.0231,-1.5891
-0.9489,-2.9032
-1.5655,-3.4765
-1.7393,-3.3457
-1.6707,-2.9653
-1.5171,-2.7299
-1.3485,-2.6180
-1.1895,-2.1904
-1.0468,-1.6804
-0.9203,-1.4638
-0.8083,-1.2987
-0.7084,-1.1530
-0.6185,-1.0226
-0.5371,-0.9056
-0.4625,-0.8001
-0.3938,-0.7046
-0.3301,-0.6174
-0.2705,-0.5372
-0.2146,-0.4630
-0.1618,-0.3940
-0.1118,-0.3294
-0.0643,-0.2686
-0.0191,-0.2111
 0.0242,-0.1565
 0.0655,-0.1043
 0.1036,-0.0546
 0.1397,-0.0058
 0.1804, 0.0457
 0.2225, 0.0983
 0.2665, 0.1511
 0.3129, 0.2022
 0.3628, 0.2487
 0.4181, 0.2868
 0.4823, 0.3129
 0.5638, 0.3219
 0.6869, 0.3255
 0.8845, 0.3271
 0.7781, 0.3288
 0.5921, 0.3501
 0.5239, 0.3554
 0.4693, 0.3394
 0.4290, 0.3087
 0.3969, 0.2692
 0.3710, 0.2258
 0.3502, 0.1814
 0.3343, 0.1371
 0.3234, 0.0924
 0.3188, 0.0466
 0.3235,-0.0027
 0.3449,-0.0529
 0.4453,-0.1212


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.045,  0.092, -0.214,  0.792,  0.046, 0.0203,-2.7992
Cpi,Cpv
 0.4472,-0.1484
 0.2301,-0.1540
 0.1258,-0.1645
 0.0285,-0.1788
-0.0605,-0.1969
-0.1479,-0.2195
-0.2367,-0.2475
-0.3303,-0.2829
-0.4324,-0.3287
-0.5488,-0.3916
-0.6883,-0.4897
-0.8761,-0.6759
-1.1223,-0.6660
-1.9477,-0.6413
-2.7462,-0.6229
-2.9846,-0.6793
-2.3354,-0.7664
-1.5345,-0.6161
-1.2174,-0.5435
-1.0556,-0.4974
-0.9550,-0.4647
-0.8843,-0.4388
-0.8313,-0.4171
-0.7896,-0.3980
-0.7556,-0.3807
-0.7274,-0.3647
-0.7034,-0.3500
