xflr5 v6.58

NACA 2412 - 03
Reynolds =,  600000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.045, -0.867, -0.079,  1.000,  0.018,-0.0004,-7.2503
Cpi,Cpv
 0.4315,-0.0401
 0.2757,-0.0397
 0.2200,-0.0452
 0.1784,-0.0513
 0.1479,-0.0579
 0.1237,-0.0647
 0.1039,-0.0715
 0.0872,-0.0783
 0.0727,-0.0854
 0.0597,-0.0933
 0.0472,-0.1024
 0.0336,-0.1139
 0.0181,-0.1287
-0.0302,-0.1625
-0.0694,-0.1774
-0.0759,-0.1782
-0.0435,-0.1640
 0.0037,-0.1264
 0.0340,-0.0931
 0.0531,-0.0711
 0.0698,-0.0523
 0.0856,-0.0349
 0.1015,-0.0178
 0.1180,-0.0005
 0.1355, 0.0173
 0.1540, 0.0356
 0.1738, 0.0545
 0.1922, 0.0727
 0.2155, 0.0954
 0.2442, 0.1233
 0.2767, 0.1551
 0.3131, 0.1909
 0.3532, 0.2304
 0.3972, 0.2739
 0.4448, 0.3214
 0.4962, 0.3730
 0.5512, 0.4286
 0.6095, 0.4882
 0.6707, 0.5517
 0.7342, 0.6190
 0.7986, 0.6890
 0.8620, 0.7614
 0.9209, 0.8332
 0.9696, 0.9019
 0.9979, 0.9599
 0.9878, 0.9962
 0.9066, 0.9877
 0.6934, 0.8918
 0.2343, 0.6248
-0.6779, 0.0345
-2.3668,-1.1326
-5.0831,-3.0899
-8.3002,-5.5009
-10.6189,-7.2503
-10.6659,-7.1887
-9.3103,-6.6100
-7.7380,-6.4394
-6.3897,-5.8779
-5.3249,-4.3656
-4.4974,-3.4972
-3.8497,-2.9753
-3.3351,-2.5850
-2.9189,-2.2672
-2.5765,-2.0008
-2.2901,-1.7741
-2.0472,-1.5788
-1.8384,-1.4085
-1.6569,-1.2586
-1.4974,-1.1256
-1.3562,-1.0068
-1.2302,-0.9002
-1.1172,-0.8042
-1.0152,-0.7176
-0.9228,-0.6396
-0.8391,-0.5694
-0.7633,-0.5066
-0.6948,-0.4507
-0.6360,-0.4014
-0.5848,-0.3580
-0.5294,-0.3199
-0.4757,-0.2878
-0.4237,-0.2615
-0.3732,-0.2451
-0.3240,-0.2317
-0.2754,-0.2178
-0.2263,-0.2037
-0.1728,-0.1899
-0.1167,-0.1763
 0.0161,-0.1685
-0.0673,-0.1637
-0.0790,-0.1499
-0.0690,-0.1366
-0.0522,-0.1237
-0.0319,-0.1115
-0.0090,-0.1000
 0.0161,-0.0891
 0.0437,-0.0790
 0.0742,-0.0698
 0.1087,-0.0614
 0.1490,-0.0540
 0.1998,-0.0477
 0.2641,-0.0428
 0.4315,-0.0401


Reynolds =,  600000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.033, -0.932, -0.077,  0.999,  0.018,-0.0005,-7.3269
Cpi,Cpv
 0.4281, 0.0540
 0.2693, 0.0424
 0.2116, 0.0414
 0.1681, 0.0396
 0.1358, 0.0366
