xflr5 v6.58

NACA 2412 - 30
Reynolds =,  400000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.141, -0.340, -0.053,  0.812,  0.042, 0.0012,-1.8099
Cpi,Cpv
 0.4631,-0.1545
 0.2405,-0.1585
 0.1298,-0.1660
 0.0243,-0.1761
-0.0741,-0.1889
-0.1725,-0.2046
-0.2743,-0.2240
-0.3833,-0.2483
-0.5044,-0.2798
-0.6448,-0.3241
-0.8163,-0.4103
-1.0524,-0.4418
-1.3669,-0.4334
-2.4678,-0.4143
-3.6451,-0.3982
-3.9813,-0.4032
-2.9937,-0.5068
-1.9054,-0.4371
-1.4737,-0.3942
-1.2515,-0.3581
-1.1120,-0.3292
-1.0127,-0.3039
-0.9372,-0.2810
-0.8767,-0.2594
-0.8265,-0.2388
-0.7840,-0.2188
-0.7471,-0.1995
-0.7205,-0.1822
-0.6907,-0.1607
-0.6559,-0.1342
-0.6190,-0.1040
-0.5798,-0.0703
-0.5382,-0.0331
-0.4939, 0.0078
-0.4464, 0.0525
-0.3956, 0.1011
-0.3411, 0.1538
-0.2823, 0.2108
-0.2190, 0.2723
-0.1504, 0.3385
-0.0760, 0.4096
 0.0052, 0.4858
 0.0942, 0.5666
 0.1923, 0.6529
 0.3011, 0.7415
 0.4223, 0.8322
 0.5568, 0.9160
 0.7032, 0.9812
 0.8519, 0.9966
 0.9722, 0.9012
 0.9824, 0.5800
 0.7234,-0.0963
 0.0637,-1.0611
-0.8177,-1.8099
-1.4146,-1.7301
-1.5904,-1.5929
-1.5316,-1.5725
-1.3884,-1.5715
-1.2288,-1.5696
-1.0770,-1.5549
-0.9398,-1.2555
-0.8175,-1.0689
-0.7087,-0.9460
-0.6112,-0.8566
-0.5231,-0.7873
-0.4430,-0.7314
-0.3695,-0.6848
-0.3014,-0.6450
-0.2380,-0.6104
-0.1786,-0.5798
-0.1227,-0.5524
-0.0697,-0.5276
-0.0194,-0.5049
 0.0287,-0.4841
 0.0747,-0.4648
 0.1189,-0.4468
 0.1614,-0.4300
 0.2010,-0.4142
 0.2391,-0.3994
 0.2815,-0.3854
 0.3253,-0.3721
 0.3711,-0.3596
 0.4193,-0.3478
 0.4711,-0.3366
 0.5282,-0.3259
 0.5940,-0.3158
 0.6746,-0.3062
 0.7997,-0.2972
 0.9396,-0.2945
 0.8918,-0.2942
 0.6965,-0.2833
 0.6292,-0.2721
 0.5685,-0.2607
 0.5223,-0.2492
 0.4836,-0.2375
 0.4510,-0.2258
 0.4234,-0.2142
 0.4004,-0.2025
 0.3821,-0.1911
 0.3698,-0.1799
 0.3660,-0.1694
 0.3786,-0.1603
 0.4631,-0.1545


Reynolds =,  400000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.064, -0.082, -0.197,  0.813,  0.041, 0.0196,-3.7846
Cpi,Cpv
 0.4656,-0.1922
 0.2419,-0.1964
 0.1299,-0.2044
 0.0227,-0.2150
-0.0776,-0.2285
-0.1781,-0.2451
-0.2823,-0.2655
-0.3940,-0.2911
-0.5182,-0.3244
-0.6625,-0.3712
-0.8387,-0.4635
-1.0810,-0.4942
-1.4040,-0.4855
-2.5291,-0.4656
-3.7317,-0.4489
-4.0789,-0.4550
-3.0756,-0.5630
-1.9686,-0.4882
-1.5326,-0.4433
-1.3097,-0.4063
-1.1708,-0.3772
-1.0729,-0.3520
-0.9992,-0.3294
-0.9410,-0.3083
-0.8934,-0.2882
-0.8537,-0.2688
-0.8198,-0.2502
-0.7970,-0.2337
-0.7708,-0.2128
-0.7397,-0.1866
-0.7067,-0.1567
-0.6715,-0.1230
-0.6339,-0.0855
-0.5938,-0.0440
-0.5508, 0.0015
-0.5045, 0.0514
-0.4547, 0.1058
-0.4009, 0.1651
-0.3426, 0.2294
-0.2794, 0.2992
-0.2104, 0.3745
-0.1348, 0.4560
-0.0514, 0.5429
 0.0413, 0.6363
 0.1455, 0.7327
 0.2636, 0.8313
 0.3985, 0.9214
 0.5520, 0.9874
 0.7216, 0.9887
 0.8896, 0.8437
 0.9965, 0.3927
 0.9047,-0.5604
 0.4574,-1.9859
-0.2593,-3.3135
-0.8289,-3.7846
-1.0699,-3.4866
-1.0968,-3.1234
-1.0301,-2.9723
-0.9320,-2.9104
-0.8285,-2.6968
-0.7292,-1.9526
-0.6372,-1.5593
-0.5526,-1.3446
-0.4751,-1.1828
-0.4036,-1.0425
-0.3373,-0.9170
-0.2756,-0.8035
-0.2177,-0.7001
-0.1631,-0.6054
-0.1114,-0.5180
-0.0622,-0.4367
-0.0152,-0.3606
 0.0298,-0.2889
 0.0731,-0.2211
 0.1149,-0.1566
 0.1552,-0.0953
 0.1942,-0.0372
 0.2308, 0.0173
 0.2661, 0.0681
 0.3057, 0.1147
 0.3469, 0.1545
 0.3903, 0.1855
 0.4362, 0.2063
 0.4857, 0.2138
 0.5406, 0.2175
 0.6042, 0.2227
 0.6824, 0.2282
 0.8043, 0.2337
 0.9409, 0.2353
 0.8943, 0.2355
 0.7032, 0.2468
 0.6371, 0.2615
 0.5772, 0.2822
 0.5313, 0.2853
 0.4927, 0.2727
 0.4600, 0.2460
 0.4321, 0.2071
 0.4086, 0.1581
 0.3897, 0.1007
 0.3766, 0.0361
 0.3718,-0.0358
 0.3833,-0.1106
 0.4656,-0.1922


Reynolds =,  400000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.067,  0.081, -0.213,  0.816,  0.052, 0.0227,-2.9287
Cpi,Cpv
 0.4684,-0.2169
 0.2437,-0.2215
 0.1305,-0.2301
 0.0217,-0.2418
-0.0804,-0.2566
-0.1829,-0.2750
-0.2894,-0.2979
-0.4039,-0.3271
-0.5312,-0.3656
-0.6793,-0.4212
-0.8601,-0.5368
-1.1086,-0.5535
-1.4399,-0.5443
-2.5887,-0.5234
-3.8161,-0.5061
-4.1744,-0.5130
-3.1558,-0.6245
-2.0307,-0.5487
-1.5907,-0.5043
-1.3672,-0.4683
-1.2291,-0.4407
