xflr5 v6.58

NACA 2412 - 0
Reynolds =,  300000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.171, -0.556, -0.002,  1.000,  0.036,-0.0035,-2.0372
Cpi,Cpv
 0.4425,-0.3253
 0.3005,-0.3086
 0.2534,-0.3029
 0.2210,-0.2950
 0.1994,-0.2872
 0.1841,-0.2791
 0.1734,-0.2707
 0.1662,-0.2622
 0.1619,-0.2535
 0.1599,-0.2446
 0.1600,-0.2354
 0.1619,-0.2260
 0.1659,-0.2161
 0.1686,-0.2069
 0.1792,-0.1989
 0.1756,-0.1968
 0.1857,-0.1850
 0.1949,-0.1740
 0.2059,-0.1623
 0.2183,-0.1500
 0.2322,-0.1371
 0.2477,-0.1235
 0.2648,-0.1092
 0.2836,-0.0943
 0.3041,-0.0790
 0.3241,-0.0645
 0.3487,-0.0455
 0.3785,-0.0214
 0.4119, 0.0067
 0.4489, 0.0384
 0.4894, 0.0740
 0.5333, 0.1133
 0.5803, 0.1564
 0.6302, 0.2036
 0.6828, 0.2548
 0.7373, 0.3103
 0.7929, 0.3700
 0.8482, 0.4342
 0.9011, 0.5027
 0.9482, 0.5757
 0.9841, 0.6524
 1.0000, 0.7328
 0.9808, 0.8134
 0.9008, 0.8922
 0.7145, 0.9590
 0.3396, 0.9982
-0.3739, 0.9739
-1.6890, 0.8189
-3.9958, 0.4118
-7.5332,-0.3612
-11.4986,-1.3753
-14.1055,-2.0372
-13.7796,-1.7995
-11.7956,-1.6911
-9.6626,-1.6797
-7.8908,-1.6800
-6.5186,-1.6785
-5.4677,-1.6725
-4.6546,-1.3844
-4.0149,-1.1957
-3.5021,-1.0712
-3.0835,-0.9804
-2.7362,-0.9101
-2.4435,-0.8532
-2.1937,-0.8058
-1.9779,-0.7653
-1.7895,-0.7300
-1.6238,-0.6988
-1.4767,-0.6708
-1.3455,-0.6455
-1.2279,-0.6224
-1.1221,-0.6011
