xflr5 v6.58

NACA 2412 - 15
Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.023, -0.372, -0.193,  0.803,  0.023, 0.0128,-5.8426
Cpi,Cpv
 0.4267, 0.1959
 0.2362, 0.1728
 0.1550, 0.1325
 0.0853, 0.0877
 0.0261, 0.0424
-0.0284,-0.0014
-0.0807,-0.0433
-0.1329,-0.0865
-0.1872,-0.1522
-0.2463,-0.3290
-0.3145,-0.6243
-0.4033,-0.6842
-0.5167,-0.6816
-0.8892,-0.6740
-1.2048,-0.7634
-1.2988,-0.9115
-1.0423,-0.8133
-0.6701,-0.5810
-0.5096,-0.4581
-0.4221,-0.3870
-0.3628,-0.3361
-0.3170,-0.2955
-0.2790,-0.2609
-0.2456,-0.2299
-0.2151,-0.2012
-0.1864,-0.1739
-0.1586,-0.1479
-0.1354,-0.1245
-0.1076,-0.0969
-0.0744,-0.0643
-0.0377,-0.0282
 0.0024, 0.0114
 0.0461, 0.0546
 0.0936, 0.1016
 0.1449, 0.1525
 0.2004, 0.2074
 0.2600, 0.2666
 0.3241, 0.3302
 0.3927, 0.3983
 0.4659, 0.4708
 0.5434, 0.5479
 0.6251, 0.6285
 0.7097, 0.7128
 0.7955, 0.7973
 0.8784, 0.8797
 0.9504, 0.9507
 0.9956, 0.9956
 0.9822, 0.9826
 0.8455, 0.8495
 0.4587, 0.4715
-0.3991,-0.3603
-1.9659,-1.8745
-4.0618,-3.8770
-5.8414,-5.5318
-6.2759,-5.8426
-5.7164,-5.2129
-4.8888,-4.9159
-4.1174,-4.8087
-3.4780,-3.6205
-2.9637,-2.8457
-2.5500,-2.4351
-2.2134,-2.1265
-1.9355,-1.8686
-1.7024,-1.6484
-1.5040,-1.4584
-1.3327,-1.2930
-1.1830,-1.1475
-1.0507,-1.0183
-0.9327,-0.9025
-0.8265,-0.7980
-0.7301,-0.7029
-0.6423,-0.6160
-0.5616,-0.5360
-0.4874,-0.4621
-0.4187,-0.3936
-0.3551,-0.3298
-0.2961,-0.2703
-0.2436,-0.2150
-0.1957,-0.1627
-0.1433,-0.1111
-0.0908,-0.0620
-0.0377,-0.0162
 0.0163, 0.0250
 0.0724, 0.0608
 0.1325, 0.0901
 0.1997, 0.1125
 0.2846, 0.1268
 0.3991, 0.1322
 0.6690, 0.1345
 0.4872, 0.1390
 0.3348, 0.1606
 0.2806, 0.1719
 0.2453, 0.1778
 0.2235, 0.1804
 0.2097, 0.1811
 0.2021, 0.1811
 0.1997, 0.1813
 0.2023, 0.1821
 0.2103, 0.1840
 0.2252, 0.1869
 0.2507, 0.1906
 0.2922, 0.1946
 0.4267, 0.1959


Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
