xflr5 v6.58

NACA 2412 - 30
Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.058, -0.135, -0.204,  0.781,  0.029, 0.0198,-4.5816
Cpi,Cpv
 0.4631,-0.1820
 0.2405,-0.1861
 0.1298,-0.1939
 0.0243,-0.2043
-0.0741,-0.2173
-0.1725,-0.2332
-0.2743,-0.2524
-0.3833,-0.2760
-0.5044,-0.3054
-0.6448,-0.3437
-0.8163,-0.3973
-1.0524,-0.4913
-1.3669,-0.5687
-2.4678,-0.5480
-3.6451,-0.5268
-3.9813,-0.5292
-2.9937,-0.6677
-1.9054,-0.5301
-1.4737,-0.4624
-1.2515,-0.4130
-1.1120,-0.3757
-1.0127,-0.3442
-0.9372,-0.3164
-0.8767,-0.2907
-0.8265,-0.2665
-0.7840,-0.2432
-0.7471,-0.2208
-0.7205,-0.2010
-0.6907,-0.1768
-0.6559,-0.1472
-0.6190,-0.1140
-0.5798,-0.0770
-0.5382,-0.0364
-0.4939, 0.0081
-0.4464, 0.0566
-0.3956, 0.1094
-0.3411, 0.1666
-0.2823, 0.2284
-0.2190, 0.2950
-0.1504, 0.3667
-0.0760, 0.4436
 0.0052, 0.5258
 0.0942, 0.6126
 0.1923, 0.7038
 0.3011, 0.7962
 0.4223, 0.8858
 0.5568, 0.9609
 0.7032, 0.9997
 0.8519, 0.9537
 0.9722, 0.7268
 0.9824, 0.1379
 0.7234,-1.0200
 0.0637,-2.6671
-0.8177,-4.1348
-1.4146,-4.5816
-1.5904,-4.1774
-1.5316,-3.8249
-1.3884,-3.6848
-1.2288,-3.0904
-1.0770,-2.3253
-0.9398,-1.9699
-0.8175,-1.7166
-0.7087,-1.5029
-0.6112,-1.3173
-0.5231,-1.1549
-0.4430,-1.0116
-0.3695,-0.8838
-0.3014,-0.7688
-0.2380,-0.6642
-0.1786,-0.5681
-0.1227,-0.4792
-0.0697,-0.3960
-0.0194,-0.3177
 0.0287,-0.2434
 0.0747,-0.1724
 0.1189,-0.1045
 0.1614,-0.0398
 0.2010, 0.0207
 0.2391, 0.0757
 0.2815, 0.1231
 0.3253, 0.1581
 0.3711, 0.1755
 0.4193, 0.1811
 0.4711, 0.1895
 0.5282, 0.1984
 0.5940, 0.2070
 0.6746, 0.2153
 0.7997, 0.2232
 0.9396, 0.2255
 0.8918, 0.2258
 0.6965, 0.2389
 0.6292, 0.2551
 0.5685, 0.2772
 0.5223, 0.2992
 0.4836, 0.2942
 0.4510, 0.2703
 0.4234, 0.2310
 0.4004, 0.1801
 0.3821, 0.1204
 0.3698, 0.0539
 0.3660,-0.0194
 0.3786,-0.0953
 0.4631,-0.1820


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.059,  0.001, -0.216,  0.785,  0.035, 0.0221,-3.7089
Cpi,Cpv
 0.4656,-0.2099
 0.2419,-0.2141
 0.1299,-0.2220
 0.0227,-0.2326
-0.0776,-0.2458
-0.1781,-0.2619
-0.2823,-0.2815
-0.3940,-0.3056
-0.5182,-0.3358
-0.6625,-0.3752
