xflr5 v6.58

NACA 2412 - 03
Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.038, -1.012, -0.083,  1.000,  0.014,-0.0008,-9.1082
Cpi,Cpv
 0.4351,-0.0114
 0.2826,-0.0094
 0.2287,-0.0145
 0.1891,-0.0199
 0.1605,-0.0257
 0.1381,-0.0314
 0.1201,-0.0370
 0.1053,-0.0424
 0.0927,-0.0478
 0.0816,-0.0539
 0.0712,-0.0611
 0.0597,-0.0708
 0.0465,-0.0839
 0.0016,-0.1166
-0.0359,-0.1324
-0.0419,-0.1331
-0.0100,-0.1176
 0.0368,-0.0782
 0.0682,-0.0436
 0.0889,-0.0202
 0.1072, 0.0003
 0.1247, 0.0195
 0.1424, 0.0384
 0.1607, 0.0577
 0.1801, 0.0775
 0.2005, 0.0982
 0.2223, 0.1195
 0.2430, 0.1401
 0.2684, 0.1653
 0.2990, 0.1956
 0.3333, 0.2297
 0.3713, 0.2676
 0.4128, 0.3092
 0.4579, 0.3545
 0.5064, 0.4036
 0.5583, 0.4563
 0.6132, 0.5128
 0.6708, 0.5726
 0.7304, 0.6356
 0.7911, 0.7009
 0.8511, 0.7680
 0.9078, 0.8345
 0.9569, 0.8982
 0.9912, 0.9533
 0.9982, 0.9915
 0.9565, 0.9966
 0.8273, 0.9399
 0.5400, 0.7667
-0.0362, 0.3765
-1.1341,-0.4173
-3.1078,-1.9012
-6.2025,-4.3022
-9.7634,-7.1424
-12.2121,-9.1082
-12.0842,-8.9097
-10.4370,-8.2964
-8.6050,-8.0995
-7.0608,-5.9729
-5.8538,-4.7132
-4.9229,-3.9690
-4.1986,-3.4091
-3.6260,-2.9585
-3.1649,-2.5885
-2.7870,-2.2805
-2.4722,-2.0207
-2.2060,-1.7985
-1.9779,-1.6062
-1.7801,-1.4380
-1.6070,-1.2895
-1.4540,-1.1573
-1.3178,-1.0388
-1.1958,-0.9321
-1.0861,-0.8356
-0.9869,-0.7480
-0.8972,-0.6685
-0.8160,-0.5961
-0.7427,-0.5304
-0.6796,-0.4708
-0.6247,-0.4164
-0.5657,-0.3660
-0.5087,-0.3207
-0.4535,-0.2807
-0.4002,-0.2465
-0.3483,-0.2180
-0.2971,-0.1964
-0.2458,-0.1835
-0.1900,-0.1706
-0.1317,-0.1572
 0.0036,-0.1492
-0.0805,-0.1440
-0.0911,-0.1290
-0.0797,-0.1144
-0.0616,-0.1005
-0.0398,-0.0874
-0.0155,-0.0749
 0.0110,-0.0633
 0.0399,-0.0525
 0.0718,-0.0427
 0.1076,-0.0338
 0.1492,-0.0260
 0.2013,-0.0194
 0.2666,-0.0142
 0.4351,-0.0114


Reynolds =,  800000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.028, -1.057, -0.077,  1.000,  0.015,-0.0012,-8.9570
Cpi,Cpv
 0.4315, 0.0736
 0.2757, 0.0730
 0.2200, 0.0719
 0.1784, 0.0697
 0.1479, 0.0656
 0.1237, 0.0588
 0.1039, 0.0492
 0.0872, 0.0365
 0.0727, 0.0223
 0.0597, 0.0082
 0.0472,-0.0059
 0.0336,-0.0210
 0.0181,-0.0383
-0.0302,-0.0734
-0.0694,-0.0888
-0.0759,-0.0904
-0.0435,-0.0770
 0.0037,-0.0425
 0.0340,-0.0130
 0.0531, 0.0064
 0.0698, 0.0234
 0.0856, 0.0394
 0.1015, 0.0555
 0.1180, 0.0721
 0.1355, 0.0894
 0.1540, 0.1077
 0.1738, 0.1267
 0.1922, 0.1452
 0.2155, 0.1684
 0.2442, 0.1966
 0.2767, 0.2288
 0.3131, 0.2649
 0.3532, 0.3047
 0.3972, 0.3485
 0.4448, 0.3961
 0.4962, 0.4475
 0.5512, 0.5028
 0.6095, 0.5617
 0.6707, 0.6241
 0.7342, 0.6891
 0.7986, 0.7564
 0.8620, 0.8235
 0.9209, 0.8886
 0.9696, 0.9460
 0.9979, 0.9879
 0.9878, 0.9985
 0.9066, 0.9501
 0.6934, 0.7895
 0.2343, 0.4181
-0.6779,-0.3476
-2.3668,-1.7927
-5.0831,-4.1503
-8.3002,-6.9671
-10.6189,-8.9570
-10.6659,-8.8352
-9.3103,-8.1654
-7.7380,-7.9452
-6.3897,-6.0468
-5.3249,-4.7317
-4.4974,-3.9890
-3.8497,-3.4387
-3.3351,-2.9964
-2.9189,-2.6331
-2.5765,-2.3306
-2.2901,-2.0754
-2.0472,-1.8574
-1.8384,-1.6689
