xflr5 v6.58

NACA 2412 - 27
Reynolds =,  600000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.055, -0.192, -0.197,  0.793,  0.029, 0.0170,-4.7419
Cpi,Cpv
 0.4519,-0.1065
 0.2340,-0.1115
 0.1285,-0.1210
 0.0296,-0.1338
-0.0613,-0.1502
-0.1510,-0.1707
-0.2427,-0.1963
-0.3399,-0.2290
-0.4467,-0.2718
-0.5695,-0.3311
-0.7182,-0.4243
-0.9208,-0.6333
-1.1889,-0.6248
-2.1160,-0.6023
-3.0603,-0.5836
-3.3315,-0.6299
-2.5446,-0.7227
-1.6280,-0.5555
-1.2604,-0.4704
-1.0698,-0.4139
-0.9489,-0.3721
-0.8619,-0.3377
-0.7950,-0.3076
-0.7406,-0.2803
-0.6949,-0.2546
-0.6554,-0.2301
-0.6205,-0.2066
-0.5946,-0.1857
-0.5651,-0.1605
-0.5305,-0.1301
-0.4935,-0.0961
-0.4538,-0.0584
-0.4113,-0.0171
-0.3658, 0.0281
-0.3170, 0.0772
-0.2645, 0.1305
-0.2079, 0.1882
-0.1470, 0.2505
-0.0811, 0.3175
-0.0099, 0.3895
 0.0674, 0.4666
 0.1514, 0.5483
 0.2430, 0.6352
 0.3433, 0.7245
 0.4530, 0.8157
 0.5726, 0.9011
 0.7007, 0.9710
 0.8313, 0.9999
 0.9467, 0.9378
 0.9999, 0.6823
 0.8842, 0.0512
 0.4188,-1.1693
-0.4909,-2.8677
-1.5558,-4.3516
-2.1679,-4.7419
-2.2526,-4.2667
-2.0841,-3.9560
-1.8461,-3.8456
-1.6115,-3.4509
-1.4017,-2.5263
-1.2194,-2.0631
-1.0618,-1.7859
-0.9247,-1.5648
-0.8043,-1.3747
-0.6975,-1.2083
-0.6017,-1.0614
-0.5150,-0.9305
-0.4358,-0.8129
-0.3628,-0.7061
-0.2951,-0.6084
-0.2320,-0.5182
-0.1728,-0.4344
-0.1170,-0.3560
-0.0642,-0.2822
-0.0140,-0.2128
 0.0337,-0.1474
 0.0794,-0.0863
 0.1216,-0.0302
 0.1617, 0.0204
 0.2061, 0.0645
 0.2519, 0.0992
 0.2994, 0.1229
 0.3493, 0.1308
 0.4027, 0.1370
 0.4614, 0.1448
 0.5291, 0.1528
 0.6132, 0.1606
 0.7417, 0.1682
 0.9162, 0.1706
 0.8358, 0.1713
 0.6399, 0.1844
 0.5700, 0.2006
 0.5112, 0.2234
 0.4673, 0.2400
 0.4316, 0.2369
 0.4024, 0.2202
 0.3785, 0.1923
 0.3594, 0.1554
 0.3454, 0.1114
 0.3377, 0.0617
 0.3391, 0.0069
 0.3572,-0.0491
 0.4519,-0.1065


Reynolds =,  600000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.054, -0.061, -0.211,  0.794,  0.035, 0.0198,-3.9551
Cpi,Cpv
 0.4538,-0.1507
 0.2344,-0.1557
 0.1275,-0.1651
 0.0269,-0.1778
-0.0660,-0.1939
-0.1578,-0.2138
-0.2520,-0.2387
-0.3519,-0.2699
-0.4619,-0.3105
-0.5884,-0.3663
-0.7416,-0.4534
-0.9502,-0.6392
-1.2262,-0.6302
-2.1754,-0.6074
-3.1413,-0.5885
-3.4217,-0.6281
-2.6214,-0.7310
-1.6883,-0.5794
-1.3170,-0.5025
-1.1259,-0.4510
-1.0057,-0.4131
-0.9202,-0.3821
-0.8550,-0.3552
-0.8029,-0.3308
-0.7596,-0.3082
-0.7229,-0.2867
-0.6909,-0.2664
-0.6686,-0.2487
-0.6426,-0.2267
-0.6115,-0.1995
-0.5780,-0.1686
-0.5421,-0.1339
-0.5034,-0.0956
-0.4618,-0.0534
-0.4170,-0.0071
-0.3686, 0.0435
-0.3162, 0.0986
-0.2596, 0.1586
-0.1981, 0.2236
-0.1313, 0.2941
-0.0585, 0.3702
 0.0213, 0.4524
 0.1090, 0.5401
 0.2061, 0.6343
 0.3140, 0.7316
 0.4343, 0.8309
 0.5679, 0.9217
 0.7132, 0.9878
 0.8600, 0.9880
 0.9762, 0.8387
 0.9781, 0.3770
 0.7036,-0.6001
 0.0213,-2.0646
-0.8822,-3.4420
-1.4891,-3.9551
-1.6641,-3.6925
-1.6006,-3.2884
-1.4523,-3.1014
-1.2883,-3.0156
-1.1330,-2.3348
-0.9930,-1.8191
